sentence,dialect,classification,confidence
"البياع هداك فجعان بطيني، بيحسب الكيلو بسعرين وبيستغل الناس.",karaki,negative,medium
"الجو نار اليوم، شوب عالأخير وما في نسمة هوا.",karaki,neutral,high
"شغل المروحة يا رجل، خلينا نتنفس شوي بالدار.",karaki,neutral,medium
"لا تتوهرف وتطلع تمشي بالظهر، الشمس بتحرق وموقتة.",karaki,neutral,low
"المي باردة وبتعدل الراس بهالشوب، صبلي كاسة.",karaki,positive,high
"يا هلا باللي جاي، انطح فالك فوت جوا الخيمة.",karaki,positive,high
"المنسف نزل واللحم مستوي، أفلحوا عالغدا يا خوان.",karaki,positive,medium
"وحش يا ذيب، تخرجت ورفعت راسنا بين الناس كلها.",karaki,positive,high
"صن واقعد مكانك، خلينا نسمع الكلمة اللي بيحكيها.",karaki,negative,low
"جيب الفاس خلينا نحفر للزيتونة، التراب قاسي وبدو شغل.",karaki,neutral,medium
"احرص وأنت بتضرب بالفاس اخوي، لا تدعثر وتأذي حالك.",karaki,neutral,high
"الشغل بالأرض بدو همة، والله إنك هشم وما بتتعب.",karaki,positive,low
"المي وصلت عالشجر، الزرعات شربت وارتوت.",karaki,positive,high
"الطريق للأهرامات زحمة، صف السيارة جنب الرصيف خلينا ننزل نمشي.",karaki,neutral,high
"احرص وأنت طالع عالأهرامات يا رجل، الحجار كبار دير بالك لا تدعثر.",karaki,neutral,medium
"الجو بمصر نار اليوم، شوب عالأخير وما في نسمة هوا.",karaki,neutral,high
شوف هاد المطعم عالنيل قعدته بتجنن.,karaki,positive,low
"السمك المشوي نزل والريحة بتفتح النفس، أفلحوا عالغدا.",karaki,positive,medium
"البياع بخان الخليلي لدن كثير، بضل يحكي وما بيسكت بالمرة.",karaki,negative,high
"انفهق غاد عن هالمحل، تراه بيبيع غالي وهالسعر مضروب مبدل.",karaki,negative,high
"هالتمثال الفرعوني مبين عليه قديم، والله إنه خاثر ومرتب.",karaki,positive,medium
"دير بالك وأنت فايت عالمتحف اخوي، المكان مليان ناس لا تضيع.",karaki,neutral,low
"ركبة الفلوكة عالنيل بتجنن، المي باردة والهوا بيرد الروح.",karaki,positive,low
"استعجلوا خلينا نلحق العرس، الناس كلها وصلت وإحنا لسه بالدار.",karaki,neutral,high
"البس بدلتك عالسريع يا رجل، الزفة بلشت بالشارع.",karaki,neutral,medium
"العريس رجل زقرت، بيستاهل كل خير والله يفرحه.",karaki,positive,high
"صف السيارة جنب الرصيف، الصالة مليانة سيارات اليوم.",karaki,neutral,high
"احرص وأنت بتدبك عالساحة، دير بالك تدعس على أجران الناس.",karaki,neutral,low
"المنسف نزل واللحم ذاب، أفلحوا خلينا نوكل, اهل العريس جابو منسف من الغالي.",karaki,positive,medium
"صن واقعد مكانك، عيب تهذرم والناس بتسمع للخطبة.",karaki,negative,high
"أهل العروس والنعم منهم، استقبلوهم أحسن استقبال.",karaki,positive,high
لا تصير فجعان بطيني وتستعجل عالأكل و تفضحنا قدام اهل العروس.,karaki,negative,medium
"الجو شوب جوا الصالة، شغلوا المكيفات خلينا نتنفس.",karaki,neutral,medium
"استعجلوا خلينا نلحق التخريج، أزمة السير عالجامعة بتجلط.",karaki,neutral,low
"صف السيارة جنب الرصيف هون، المواقف كلها مليانة اليوم.",karaki,neutral,low
"ما شاء الله عنه، تخرج ورفع راسنا بين الناس كلها.",karaki,positive,medium
"احرص وأنت ماشي عالدرج بالمدرج، دير بالك لا تدعثر.",karaki,neutral,medium
"صن واقعد مكانك، خلينا نسمع اسم أخوك بس ينادوه.",karaki,negative,medium
"وحش يا ذيب، والله إنك هشم وتعبك ما راح عالفاضي.",karaki,positive,high
"روب التخريج خاثر ومرتب، طالع بيجنن عليك يا رجل.",karaki,positive,medium
"انفهق غاد عن الممر، خلي الخريجين يعرفوا يمشوا.",karaki,negative,medium
"الجو نار بالمدرج، شوب عالأخير وما في نسمة هوا.",karaki,neutral,low
"صورنا صورة حلوة عالمنصة اخوي، الذكرى بتظل للعمر.",karaki,positive,medium
"ابعدي عن هالبنت، تراها لقاقة وعينها مالطة عالرايح والجاي.",karaki,negative,high
"ما شاء الله عليها، بنت خاثرة ومدبرة ولبسها مرتب.",karaki,positive,medium
"صني يا بنت ولا تجيبي سيرتها، تراها بتهذرم كثير وبتنقل الحكي.",karaki,negative,high
"فستانها خاثر وطالعة بتجنن عالمنصة، الله يهنيها.",karaki,positive,medium
"البنت هذيك لدنة وثقيلة دم عالأخير، ما حدا بيطيق قعدتها.",karaki,negative,high
شفتيها كيف كانت تمشي عالدرج؟ ضلت تدعثر وتوقع.,karaki,neutral,medium
"تراها فجعانة بطينية عالأكل، ما خلت شي قدامها.",karaki,negative,medium
"انفهقي غاد عنها يا خيتي، تراها بتضحك بوجهك ومن وراكي بتحكي.",karaki,negative,high
"بنتهم بتسوى مية رجل، وقفت مع صاحبتها وما قصرت.",karaki,positive,medium
"دايماً بتتوهرف بقراراتها، لو بتفكر شوي كان وضعها أحسن.",karaki,neutral,high
"هاتن الأغراض خلينا نمشي عالصحراوي، طريق العقبة مطولة وبدها مشي.",karaki,neutral,high
"لا تدقسي وأنتي بتسوقي عالطريق، دير بالك الشارع مليان حفر.",karaki,neutral,medium
"صفي السيارة جنب الرصيف، الفندق مليان واليوم أزمة.",karaki,neutral,low
"الجو بالعقبة نار اليوم، شوب عالأخير وما في نسمة هوا.",karaki,neutral,low
"احرصي وأنتي ماشية عالبحر، دير بالكي اتددادمي وتوقعي.",karaki,neutral,medium
"السمك استوى والريحة بتفتح النفس، أفلحوا عالغدا يا بنات.",karaki,positive,high
"انفهقي عن هالمحل، تراه بيبيع غالي وهالسعر مضروب مبدل.",karaki,negative,medium
"الفستان خاثر ومرتب، طالع بيجنن عليكي عالبحر.",karaki,positive,medium
"البنت اللي قعدت جنبنا لدنة وبتظل تهذرم، وجعت راسي.",karaki,negative,low
"بنتي ما شاء الله عليها، خاثرة ومدبرة وبتدير دارها أحسن إدارة.",karaki,positive,high
"بنتي دايماً بتدعثر وهي ماشية، ما بتنتبه قدامها بالمرة.",karaki,neutral,medium
"نسيبنا رجل طيب وما بيقصر مع بنتي، حاطها بعيونه.",karaki,positive,high
"بنتي تخرجت ورفعت راسي، والله إنها بتسوى الدنيا.",karaki,positive,high
"البنت هاي بتهذرم كثير عالتلفون، وجعت راسي من كثر الحكي.",karaki,negative,low
"بنتي بتتوهرف بقراراتها، دايماً مستعجلة وبدها كل شي عالسريع.",karaki,neutral,medium
"بنتي سوت المنسف واللحم ذاب، أفلحي عالغدا يا أم علي.",karaki,positive,high
"توظفت بنتي وصارت تطلع عالدوام بدري، الله يوفقها.",karaki,positive,medium
"لا يغرك ضعفها، تراها فجعانة بطيني وبتاكل الأخضر واليابس.",karaki,negative,low
"قلت لبنتي تنفهق عن هالبنات، تراهن لقاقات وعينهن مالطة.",karaki,negative,high
"صف جنب الرصيف، خلينا ننزل نشوف هالمدرسة كيف وضعها.",karaki,neutral,medium
لا تتسرع وندفع الرسوم قبل ما نسأل عن الأساتذة عالسريع.,karaki,neutral,low
"مدير المدرسة مبين عليه رجل هشم، كلامه مرتب وبيريح البال.",karaki,positive,medium
"هالمدرسة أسعارها غالية كثير، ترا هالسعر مضروب.",karaki,negative,low
"انفهق عن هاي هالمدرسة، سمعتها عاطلة والطلاب فيها بتتأخر دراسياً.",karaki,negative,medium
"الساحة مبينة نظيفة والصفوف خاثرة، بتطمن الواحد على ولده.",karaki,positive,medium
"لد علي جاي، هالمدرسة قريبة عالدار وما بتغلبنا بالتوصيل.",karaki,neutral,high
"صن واقعد مكانك خلينا نقرأ المنهج، بدنا تأسيس منيح للولد.",karaki,neutral,medium
"سألت جارتنا عن المدرسة وما بطلت تهذرم، ما فهمت منها إشي مفيد.",karaki,negative,low
"توكل على الله وسجله هون، التأسيس عندهم بيسوى مية مدرسة.",karaki,positive,high
"صف اول الطلعة، خلينا نفوت عالملعب قبل ما تبدأ المباراة.",karaki,neutral,high
"استعجلوا وامشوا منيح عالدرج، ديروا بالكم لا وتوقعوا.",karaki,neutral,low
"هالمهاجم زقرت، بيسجل أهداف بتجنن.",karaki,positive,high
"الحكم بظل يهذرم ويصفر عالفاضي، قراراته كلها غلط.",karaki,negative,medium
"شوتته قوية بتسوى مية رجل، والله إنه هشم وبيرفع الراس.",karaki,positive,high
"السندويشات جهزت، أفلحوا عالعشا يا شباب قبل الشوط الثاني.",karaki,positive,medium
"صن واقعد مكانك، خلينا نركز باللعب وبلا دوشة.",karaki,neutral,high
"صاحبنا فجعان بطيني، خلص كل البزر لحاله عالمدرج.",karaki,negative,low
"فريقهم اليوم لعبه مضروب مبدل، خلونا نروح.",karaki,negative,medium
"صفي السيارة بالكراج، خلينا ننزل عالمول قبل ما يصير أزمة.",karaki,neutral,low
"الفستان اللي شفته عالمحل خاثر، طالع بيجنن عليكي.",karaki,positive,high
"لا تتوهرفي وتشتري من أول محل، خلينا نلف السوق كله ونشوف.",karaki,neutral,medium
"البياع بظل يهذرم وما بيسكت، وجع راسي بكثر الحكي.",karaki,negative,low
"انفهقي غاد عن هالمحل، تراه بيبيع غالي وهالسعر مضروب مبدل.",karaki,negative,high
"احرصي وأنتي ماشية عالدرج، دير بالك لا تدعثري بأكياسك.",karaki,neutral,medium
"هالبنت بتظل عينها مالطة عالبضاعة، مبينة لقاقة وما بتشتري شي.",karaki,negative,high
"تعبنا من اللف، خلينا نقعد ناكل بعدين بنكمل شغلنا.",karaki,neutral,low
"الأكل نزل والريحة بتفتح النفس، يلا عالغدا يا بنات.",karaki,positive,high
"البياع هداك طيب، راعانا بالسعر وما قصر معنا بالمرة.",karaki,positive,medium
صف خلينا نفوت عالقاعة قبل ما تبدأ المحاضرة.,karaki,neutral,high
"الدكتور بظل يهذرم عالفاضي، ما حدا فاهم عليه إشي.",karaki,negative,medium
"انفهق غاد عن هالطالب، تراه عاطل.",karaki,negative,high
"الدكتور هداك رجل زقرت، بيشرح منيح وما بيقصر مع الطلاب.",karaki,positive,medium
"صن واقعد مكانك، خلينا نعرف نركز بالمحاضرة وبلا دوشة.",karaki,negative,high
"ركز بالامتحان يا رجل، لا تتغابى وتضيع تعبك.",karaki,neutral,low
البنت هذيك لقاقة وعينها مالطة عالطلاب بالمدرج.,karaki,negative,high
"ما شاء الله عالبنت، خاثرة وبتفهم المحاضرة عالسريع.",karaki,positive,medium
"لدو علي جاي يا خوان، وش ودكم ننزل مواد هالفصل.",karaki,neutral,high
"الزلمة بظل يهذرم عالمنشور، مش فاهمين عليه إشي اخوي.",karaki,negative,medium
"هالبنت لقاقة وعينها مالطة  عالتعليقات، بتراقب كل الناس.",karaki,negative,high
"صن وانطم يا رجل ، بطل تكتب حكي فاضي عالبوست.",karaki,negative,low
"لا تكتب تعليق بالغلط، الناس بتاكل وجهك عالسريع.",karaki,neutral,high
"اللي كتب هالمنشور زقرت ، كلامه بيرفع الراس.",karaki,positive,medium
"انفهق عن هالصفحة، صاحبها رجل مضروب وما بيفهم.",karaki,negative,high
"لد علي جاي ، شوف شو كاتبين الناس عالصورة.",karaki,neutral,low
"هالبنت مشهورة، ردها عالبوست بيسوى مية تعليق.",karaki,positive,high
"التعليقات كلها هواش، نصهم غور وبس بدهم مشاكل.",karaki,negative,medium
"اقرؤوا المكتوب عالمنشور منيح يا خوان ، قبل ما تردوا.",karaki,neutral,high
"انطم بالجروب، الإدارة مش فاضية تشوفك وأنت تهذرم بحكي فاضي.",karaki,negative,medium
المشرف الجديد هشم وفكاك النشب وقت المشاكل.,karaki,positive,high
اللي بيعمل مشاكل دايماً تراه لدن وثقيل دم عالأعضاء.,karaki,negative,medium
"القهوة فاكة، ارجع عمّر الدلة عالسريع خلينا نشرب.",karaki,negative,low
"حرك القهوة بيد المحماسة منيح، عشان ما تنحرق عالنار.",karaki,neutral,high
"صب فنجان الكيف يا رجل، خليني أروق وأصحصح عالبدري.",karaki,positive,medium
"القهوة صايدة، ديرها وارجع سوي غيرها.",karaki,negative,high
"جيب الدلال ونظفها منيح، قبل ما نصب عالضيوف.",karaki,neutral,medium
صوت النجر بنادي عالناس بالليل للتعاليل.,karaki,positive,low
"صب فنجان السيف لخالك ، تراه رجل زقرت وفكاك النشب.",karaki,positive,high
دير بالك تطلع القهوة صايدة وتفضحنا.,karaki,negative,medium
"هات المحماسة يا خال، القهوة بدها حمس عالأصول.",karaki,neutral,high
"هذا فنجان الضيف، قدمه أول شي تكريماً واحتراماً إله.",karaki,positive,low
"أفلحوا عالمنسف يا خوان، الأكل جاهز والجميد عليه.",karaki,positive,high
"انطح فالك، فوت جوا الدار دارك والبيت بيتك.",karaki,positive,medium
"لا تصير فجعان بطيني عالأكل، خلي مجال لغيرك.",karaki,negative,low
"دير بالك من هداك، تراه شفح بياكل الأخضر واليابس.",karaki,negative,high
"أفلحوا عالمجلل، السمن البلدي عليه والريحة بتعدل الراس.",karaki,positive,medium
"كثر الجميد عاللحم اخوي، المنسف بدو مرقة زيادة.",karaki,neutral,low
"المجلل جاهز، أفلحوا خلينا نتعشى قبل ما يبرد.",karaki,positive,high
"هات الشراك وافرشه عالسدر، خلينا نجهز الغدا.",karaki,neutral,medium
"اللزاقيات عالنار، والريحة بتجنن بتعبي المكان.",karaki,positive,high
"فوتوا عالدار، الأكل جاهز والخير كثير.",karaki,positive,low
"جرهد القناة، خلي المي تمشي عالكرم وتسقي الزرع.",karaki,neutral,high
"هات العدة خلينا نجرهد القناة، المي ما وصلت عالشجر.",karaki,neutral,medium
"عشي الحلال قبل ما تعتم الدنيا، وفوت سكر الباب.",karaki,neutral,low
"طلع الحلال يسرح الصبح، وعشي الحلال بس تغيب الشمس.",karaki,neutral,high
"هات المنجل يا رجل، خلينا ننزل عالحصيدة قبل ما تعتم.",karaki,neutral,medium
"الحصيدة بدها همة، هاتوا المناجل خلينا نخلص.",karaki,neutral,low
"احرص وأنت طالع عالدرج، دير بالك لا تدعثر وتوقع.",karaki,neutral,high
"دير بالك وأنت شايل الأكياس، لا تدقس.",karaki,neutral,medium
"لا تتوهرف بالشغل، وخليك مركز عالأكيد.",karaki,neutral,low
"دير بالك وأنت بتشتغل اخوي، الشغلة ما بدها غشيم يغلط.",karaki,neutral,high
"الماتور طفى فجأة عالطريق، انزل شوف شو القصة.",karaki,neutral,medium
"دير بالك وأنت بترفع العجل، لا تدعثر وتوقع.",karaki,neutral,low
"هات العدة من الصندوق يا خال، خلينا نغير العجل عالسريع.",karaki,neutral,high
"هالسيارة خربت وطلعت غور عاطل، بدها بيعة.",karaki,negative,medium
"المي طافت بالحمام، جيب العدة خلينا نسكر المحبس.",karaki,neutral,low
"وحش، صلحت الماسورة بضربة وحدة والله إنك هشم.",karaki,positive,high
"شد البرغي عالسريع، المي بلشت تطلع عالبلاط.",karaki,neutral,medium
"هالماسورة طلعت مضروب مبدل، بدها تغيير كامل.",karaki,negative,low
"الكهربا قطعت فجأة، هات اللكس خلينا نشوف طريقنا.",karaki,neutral,high
"ولع الشمعة وحطها عالطاولة، العتمة بتخوف بالليل.",karaki,neutral,medium
"هالشب رجل زقرت، بينحط عالجرح يبرئ.",karaki,positive,low
"صب فنجان السيف، تراه فكاك النشب وما بيقصر.",karaki,positive,high
"ما شاء الله عالبنت، خاثرة ومدبرة ومزيونة.",karaki,positive,medium
بنتهم خاثرة وبتعرف تمشي وتدبر أمور البيت عالأصول.,karaki,positive,low
"هالبنت مدبرة، بتوفر وبتدير بالها عالدار منيح.",karaki,positive,high
"خاثرة وعاقلة يا خوان، ما في منها بالبلد كلها.",karaki,positive,medium
"وقف معي وقفة رجال، تراه زقرت وأصيل.",karaki,positive,low
"الحلاق هداك رجل زقرت، إيده خفيفة عالشعر.",karaki,positive,high
"هالثوب خاثر وقماشه مرتب، بيناسبك عالأكيد.",karaki,positive,medium
"الميكانيكي هداك رجل زقرت، بيخلص الشغل عالسريع.",karaki,positive,low
"ابعد عن هالجارة، تراها لقاقة وعينها مالطة عالرايح والجاي.",karaki,negative,high
"مرة لقاقة وما بتسكت، احرص منها ولا تحكي أسرارك.",karaki,negative,medium
"عينها مالطة عالأغراض كلها، الله يكفينا شرها.",karaki,negative,low
"هداك لدن وثقيل دم زنخ، ما حدا طايق يقعد معه.",karaki,negative,high
"ثقيل دم زنخ، بيجلط اللي بيسولف معه عالأكيد.",karaki,negative,medium
"الزلمة لدن كثير اخوي، بحكي الكلمة وبطلع الروح.",karaki,negative,low
"الله يعينه على مرته، طالعة قوية شلقة وما بتسكت.",karaki,negative,high
"هالبنت دايرة بايرة، طول اليوم بالأسواق وما بتقعد.",karaki,negative,medium
"مرة سمطة وهزهاز أبو الوجوه، الله يكفينا شرها.",karaki,negative,low
"غشيم وغلاّط، هالشخص ما بيتعلم من أخطائه بالمرة.",karaki,negative,high
"احرص وأنت ماشي، الطريق عوجة لا تدعثر وتوقع.",karaki,neutral,medium
"دير بالك وأنت بتسوق عالشارع، لا تتوهرف بحياتك.",karaki,neutral,low
"لد علي جاي، لا تتوهرف بالمشي الدنيا عتمة عالأخير.",karaki,neutral,high
"أزمة السير بتجلط، صف السيارة عالرصيف خلينا نمشي.",karaki,neutral,medium
"الطريق زحلقة يا رجل، دير بالك لا تدعثر وتكسر حالك.",karaki,neutral,low
"احرص وأنت بتصف السيارة عالرصيف، لا تدعثر بالعجل.",karaki,neutral,high
"دير بالك على حالك، برد قارس عالمربعانية اليوم.",karaki,neutral,medium
"سكر الباب عالسريع، الهوا بارد برا بيمرض الواحد.",karaki,neutral,low
"البرد بيفوت بالعظم، دفي حالك منيح.",karaki,neutral,high
"الدنيا بتمطر وتشتي، فوت جوا وعشي الضوء وراك.",karaki,neutral,medium
"وطي صوتك عالتلفون يا رجل، وجعت راسي وأنت تهذرم.",karaki,negative,low
"انطم، بلاش تهذرم قدام العالم بالعرس.",karaki,negative,high
"بطل تهذرم وتجيب سيرة الناس، خلينا نروق.",karaki,negative,medium
"انفهق غاد عني يابني، ولا تتوهرف بالحكي مع الأكبر منك.",karaki,negative,low
"الأكبر منك قاعدين عالكراسي وبيحكوا، صن واسمع.",karaki,negative,high
"الشبكة فصلت عالأخير، طفي الراوتر وارجع شغله.",karaki,neutral,medium
"حرك الأنتين شوي، يمكن يلقط إرسال وتصفى الصورة.",karaki,neutral,low
أعنامك؟ طمني عنك.,karaki,neutral,medium
وش ودك مني بهالليل؟ خليني أنام وارتاح.,karaki,neutral,medium
"طمني عنك، كيف الشغل معك هاليومين؟",karaki,neutral,low
"وحش يا ذيب، شوتة جول عالطاير.",karaki,positive,high
"هاللاعب هشم عالأكيد، لياقته ما بتخلص بالملعب.",karaki,positive,medium
"العب باص عالجناح، لا تتوهرف وتخسر الطابة.",karaki,neutral,low
"الحكم لدن وثقيل دم زنخ، قراراته بتجلط.",karaki,negative,high
"وحش، قطعت الطابة من المهاجم وما خليته يتنفس.",karaki,positive,medium
"بطل، شوتة بتكسر العارضة والله إنك هشم.",karaki,positive,low
"شوت الطابة عالجول بقوة يا خال، لا تتوهرف وتضيع الفرصة.",karaki,neutral,high
"احرص وأنت بتركض عالملعب، العشب بيزحلق لا تدعثر.",karaki,neutral,medium
"وحش بالملعب، دفاعنا قوي وهاللاعب مسكر المنطقة.",karaki,positive,low
"شتت الطابة عالسريع، لا تتوهرف قدام المرمى.",karaki,neutral,high
"هات الأغراض من السيارة، وفوت جوا الدار عشي الضوء.",karaki,neutral,medium
"فوت جوا غرفتك يا خوان، وعشوا الضوء وراكم.",karaki,neutral,low
"خلصني عالسريع، ما ظل وقت والناس بتستنى برا.",karaki,neutral,high
هات الأغراض بسرعة خلينا نمشي عالسوق.,karaki,neutral,medium
"لد علي جاي، هالبندورة خاثرة وبتنوزن بالذهب.",karaki,positive,low
"هالسعر مضروب مبدل، لا تشتري من عنده.",karaki,negative,high
"انفهق عن هالمحل، صاحبه غور عاطل.",karaki,negative,medium
"صاحب المحل شفح، بياكل حق الناس عيني عينك.",karaki,negative,low
"ركز بالدراسة، لا تتوهرف وتضيع تعبك عالفاضي.",karaki,neutral,high
"سكر التليفون وفوت نام، وعشي الضوء وراك.",karaki,neutral,medium
"احرص وأنت بتخبز، النار حامية لا تنحرق.",karaki,neutral,medium
والله خبز الشراك طلع خاثر وبيفتح النفس.,karaki,positive,medium
"لا تعجن بسرعة، الطحين بدو مي.",karaki,neutral,low
"العب رياضة منيح، الشاب لازم يكون هشم وقوي.",karaki,positive,medium
"دير بالك وأنت بترفع الوزن، لا تدادم وتأذي ظهرك.",karaki,neutral,high
"هالكابتن فحل ، بيدرب عالأصول وما بيقصر.",karaki,positive,low
"لا تصير فجعان بطيني  بعد التمرين، كل وجبتك بس.",karaki,negative,medium
"الفيلم بيخوف، فوت  جوا وتغطى منيح.",karaki,neutral,high
"عشي الضوء خلينا نحضر الفيلم عالعتمة، هيك أحسن.",karaki,neutral,medium
"صن يا ولد، بطلنا نسمع الصوت من ورا دوشتك.",karaki,negative,low
"لد علي جاي، البطل غشيم وغلاّط راح عالمكان الغلط.",karaki,negative,medium
"وقف التاكسي عالرصيف، خلينا نطلع عالسريع.",karaki,neutral,low
"الشوفير لدن وثقيل دم زنخ ، طول الطريق يشتكي.",karaki,negative,medium
"انطح فالك يا خال، وصلنا عالدارتعال تعشّا عنّا.",karaki,positive,medium
"احرص وأنت نازل من السيارة، الشارع مليان مي.",karaki,neutral,low
"الدور عالبنك مطول، الناس كلها جاي تقبض.",karaki,neutral,medium
"الموظف هداك زقرت ، خلص معاملتي بلمح البصر.",karaki,positive,medium
"انفهق غاد عن الشباك، خليني أعرف أحكي مع الموظف.",karaki,negative,medium
"لا تتوهرف وتضيع بطاقتك، حطها بجيبتك عالأكيد.",karaki,neutral,medium
"وجع الطواحين بيموت، لازم نروح عالدكتور اليوم.",karaki,neutral,low
"الدكتور إيده خفيفة، تراه طيب بخفف الوجع.",karaki,positive,medium
"اهدى عالكرسي، خلي الدكتور يعرف يخلع السن.",karaki,negative,low
"احرص لا تاكل عالجهة الثانية، اللثة لسه بتنزف.",karaki,neutral,low
"الكلاب بتعوي بالشارع، فوت جوا وسكر الباب.",karaki,neutral,medium
"لا تدقس  وأنت بتركض، دير بالك من الحجار.",karaki,neutral,medium
"انفهق غاد عنه، الكلب مبين عليه مسعور وبيخوف.",karaki,negative,medium
"جيب عصاي عالسريع، خلينا نبعده عن الدار.",karaki,neutral,medium
"مسح البلاط منيح، الغبرة معبية المكان.",karaki,neutral,low
"الأرض بتزحلق، احرص وأنت ماشي لا تدعثر.",karaki,neutral,medium
"هالبنت خاثرة ومدبرة ، نظفت البيت وصار يلمع.",karaki,positive,high
"عشي الضوء  بعد ما تخلص شطف، بدنا نوفر كهربا.",karaki,neutral,medium
"العب الورقة عالطاولة، لا تتغابى و تخسرنا الجولة.",karaki,neutral,medium
"انطم يا رجل، كشفت أوراقنا بصوتك العالي.",karaki,negative,medium
"اللعب بدو تركيز، مش وقت إنك تهذرم.",karaki,negative,high
"وحش، لبستو بشيخ الكبة والله إنك هشم.",karaki,positive,high
"فاتورة الكهربا غالية كثير هالشهر، هالسعر مضروب.",karaki,negative,medium
"عشي الضوء  بالنهار، فواتيرنا كسرت ظهرنا.",karaki,neutral,medium
"لد علي جاي ، المي قطعت ولازم ندفع الفاتورة.",karaki,neutral,low
الموظف اللي بشركة المي لدن وما بيساعد حدا.,karaki,negative,high
