id ,text,source,label_guess,confidence,classification
65,كرم الرجال بأفعاله مو بكلامه,LLM,Bedouin,Medium,Positive
66,الضيف ما ينسأل ثلاث ايام وبعدها نسأله وين تبي,Facebook,Bedouin,High,Neutral
67,نكرم الضيف بالذبيحة وبالقهوة المرة,Twitter,Bedouin,High,Positive
68,اللي ما يكرم ضيفه ما يستاهل يتسمى رجال,Facebook,Bedouin,High,Positive
69,الدلة والفنجال من عادات أجدادنا,LLM,Bedouin,High,Neutral
70,هات الدلة يا ولد واسكب للضيوف,Twitter,Bedouin,High,Neutral
71,عندنا القهوة ما تنقطع صيف ولا شتا,Facebook,Bedouin,High,Neutral
72,ضيفنا عزيز وما نرده أبد,Twitter,Bedouin,High,Positive
73,بيتنا مفتوح لكل ضيف ومسافر,Twitter,Bedouin,High,Neutral
74,اللي يطرق بابنا نكرمه بأحسن ما عندنا,LLM,Bedouin,High,Positive
75,حطّوا العشا للضيوف وزيدوا المنسف,Twitter,Bedouin,High,Neutral
76,الضيف له الصدر ونحن خدامه,LLM,Bedouin,High,Neutral
77,ما نسمح للضيف يطلع بدون أكل وشرب,LLM,Bedouin,High,Neutral
78,القدر على النار والذبيحة حاضرة,Facebook,Bedouin,High,Positive
79,المجلس عامر والقهوة سخية,LLM,Bedouin,Medium,Positive
80,نذبح للضيف ولو كان آخر راس عندنا,Facebook,Bedouin,High,Neutral
81,الكريم يعرفونه من بعيد بأفعاله,Twitter,Bedouin,Medium,Positive
82,هلا وغلا بالضيوف حياكم الله,LLM,Bedouin,High,Positive
83,المنسف جاهز واللحم على الرز,Twitter,Bedouin,High,Neutral
84,خذ فنجالك يا ضيفنا ولا تستحي,Facebook,Bedouin,High,Neutral
85,نار الكرم ما تنطفي عندنا,LLM,Bedouin,High,Positive
86,الضيف يجي بركة والبخيل يجي نكبة,Twitter,Bedouin,High,Positive
87,صبّوا للرجال قهوة وزيدوا التمر,LLM,Bedouin,High,Neutral
88,حنا نفزع لخوينا لو كانت الدنيا كلها ضده,LLM,Bedouin,High,Positive
89,ربعي وقفة رجال وما يخلّون أحد,Facebook,Bedouin,High,Positive
90,الفزعة عندنا بالدم مو بالكلام,LLM,Bedouin,High,Neutral
91,نوقف مع ابن العم لو على حساب أرواحنا,LLM,Bedouin,High,Positive
92,اللي يمس ربعي مسّني,LLM,Bedouin,High,Neutral
93,حنا فزعة واحدة ما نتفرق,Facebook,Bedouin,High,Positive
94,النخوة عندنا واجب مو اختيار,Twitter,Bedouin,High,Positive
95,ربعنا لو ينادون نلبي بلا تفكير,Facebook,Bedouin,High,Positive
96,الرجال تتبيّن وقت الشدايد,LLM,Bedouin,Medium,Neutral
97,حنا أهل الفزعة والوقفة الصادقة,LLM,Bedouin,High,Positive
98,لو خويّنا بعيد نوصله ونفزع له,Twitter,Bedouin,High,Positive
99,العزوة ربعك اللي يوقفون معك,LLM,Bedouin,High,Neutral
100,ما نخلّي خوينا يواجه المصاعب لحاله,LLM,Bedouin,High,Neutral
101,الفزعة شيمة الرجال الأصيلين,LLM,Bedouin,High,Positive
102,يا عيال حنا ربع واحد بالسراء والضراء,Facebook,Bedouin,High,Positive
103,لو الدنيا كلها ضدك حنا معك,Twitter,Bedouin,High,Neutral
104,النخوة ما تموت بقلوب الرجال,LLM,Bedouin,High,Positive
105,حنا وربعنا إيد واحدة,LLM,Bedouin,High,Neutral
106,اللي يحتاجنا يلقانا قبل ما ينادي,Twitter,Bedouin,High,Neutral
107,وقت الشدة تعرف مين خويّك الصادق,LLM,Bedouin,Medium,Neutral
108,دمنا واحد وعرضنا واحد,Twitter,Bedouin,High,Neutral
109,الفزعة ما لها وقت محدد نفزع بكل حين,Twitter,Bedouin,High,Positive
110,ربعي سندي وعزوتي بالدنيا,Facebook,Bedouin,High,Neutral
111,اللي ما يعرف الفزعة ما يعرف الرجولة,LLM,Bedouin,High,Positive
112,نركض لربعنا ركض الخيل,LLM,Bedouin,High,Neutral
113,العرض ما ينداس وحنا حراسه,Facebook,Bedouin,High,Neutral
114,وقفتنا وقفة رجال ما فيها تراجع,Twitter,Bedouin,High,Positive
115,ابن العم سندك لو الكل خذلك,Twitter,Bedouin,High,Positive
116,حنا ربع المواقف مو ربع الكلام,LLM,Bedouin,High,Neutral
117,الشجاعة والفزعة ورثناها من جدودنا,Twitter,Bedouin,High,Positive
118,الناقة الأصيلة تعرفها من مشيتها,LLM,Bedouin,High,Positive
119,إبلنا ترعى بالوادي والحمد لله سمان,Facebook,Bedouin,High,Positive
120,الذلول سريعة وتقطع المسافات بالساعات,LLM,Bedouin,High,Positive
121,حلبنا الناقة الصبح وشربنا لبنها طازج,Facebook,Bedouin,High,Positive
122,الراعي يسرح بإبله من الفجر لين المغرب,Facebook,Bedouin,High,Neutral
123,البعير لو عطش يقدر يصبر أيام,Twitter,Bedouin,High,Positive
124,ناقتنا ولدت والحوار يركض وراها,Facebook,Bedouin,High,Neutral
125,الإبل عز البدو وثروتهم,LLM,Bedouin,High,Neutral
126,وسمنا الإبل بوسم القبيلة,Facebook,Bedouin,High,Neutral
127,الحلال يرعى بالربيع والأرض خضرا,LLM,Bedouin,High,Positive
128,البعير اللي ما ينقاد بالحسنى ما ينقاد بالقوة,LLM,Bedouin,High,Neutral
129,ناقة المزاين تسوى ذهب,Facebook,Bedouin,High,Neutral
130,الراعي يعرف كل راس من حلاله بالاسم,LLM,Bedouin,High,Neutral
131,إبلنا من أصايل الحمر وما فيها عيب,Facebook,Bedouin,High,Neutral
132,الحوار لازم يكبر عند أمه لين يقوى,LLM,Bedouin,High,Neutral
133,سرحنا الإبل بالصحرا وردّيناها بالمغرب,LLM,Bedouin,High,Neutral
134,البعير الأصيل ما يخون صاحبه,LLM,Bedouin,Medium,Positive
135,الناقة لو حنّت على ولدها ما تسكت,LLM,Bedouin,High,Neutral
136,حلال جدنا كثير والحمد لله ما نشتكي,Twitter,Bedouin,High,Positive
137,الإبل إذا شبعت ماء تقدر تمشي أسبوع,LLM,Bedouin,High,Neutral
138,عندنا ناقة حلوب تعطي حليب كثير,Twitter,Bedouin,High,Positive
139,البدوي يعرف إبله زي ما يعرف عياله,Facebook,Bedouin,High,Positive
140,الراعي ما ينام لين يطمن على حلاله,Twitter,Bedouin,High,Neutral
141,وردنا الإبل على البير وشربت لين ارتوت,LLM,Bedouin,High,Neutral
142,الذلول اللي عندنا ما لها مثيل بالسرعة,Twitter,Bedouin,High,Positive
143,حلالنا يرعى بالفيافي وما يضيع,Twitter,Bedouin,High,Positive
144,البعير حمل الأمتعة وما شكى,LLM,Bedouin,High,Neutral
145,إبلنا تعرف الطريق للمرعى بدون دليل,Facebook,Bedouin,High,Neutral
146,الناقة الأصيلة عزّ لصاحبها,LLM,Bedouin,High,Positive
147,لبن الناقة شفا وبركة,Facebook,Bedouin,High,Positive
148,اللي ما له أول ما له تالي,Facebook,Bedouin,Medium,Neutral
149,الطيب ما يضيع بين الناس,Facebook,Bedouin,Medium,Positive
150,اصبر على جارك ولو جارك ما صبر عليك,LLM,Bedouin,Medium,Positive
151,اللي يزرع خير يحصد خير,Facebook,Bedouin,Medium,Positive
152,الرجال مواقف مو كلام,Facebook,Bedouin,Medium,Neutral
153,اللي ما يركب الصعب ما ينال المطلوب,LLM,Bedouin,High,Neutral
154,الصبر مفتاح الفرج والعجلة من الشيطان,Twitter,Bedouin,Medium,Positive
155,اللي يبي العلا يسهر الليالي,Facebook,Bedouin,Medium,Neutral
156,خذ الحكمة من أفواه كبار السن,LLM,Bedouin,Medium,Neutral
157,العين بصيرة واليد قصيرة,LLM,Bedouin,Medium,Neutral
158,اللي ما يعرف الشدة ما يعرف الرخا,Twitter,Bedouin,Medium,Neutral
159,الجمل ما يشوف عوجة رقبته,Twitter,Bedouin,High,Neutral
160,كل فعل وله جزاه سوا خير أو شر,LLM,Bedouin,Medium,Positive
161,اللي يطول صبره ينال مطلبه,Facebook,Bedouin,Medium,Positive
162,الريح اللي ما تعجبك لا تبحّر فيها,Facebook,Bedouin,High,Neutral
163,خل الأيام تعلمك واسمع كلام اللي جرّب,Facebook,Bedouin,Medium,Neutral
164,العقل زينة والجهل شينة,LLM,Bedouin,Medium,Positive
165,اللي حظه رديء ما ينفعه اجتهاده,Facebook,Bedouin,Medium,Neutral
166,الكلمة الطيبة تفتح أبواب مسكرة,Twitter,Bedouin,Medium,Positive
167,خويّك اللي يبكي معك مو اللي يضحك معك,Facebook,Bedouin,Medium,Positive
168,اللي ما يحترم كباره ما يحترمونه صغاره,Facebook,Bedouin,Medium,Neutral
169,الصقر لو جاع ما ياكل الميتة,LLM,Bedouin,High,Positive
170,اللي يمد رجله أكثر من فراشه ينكشف,LLM,Bedouin,Medium,Neutral
171,الكريم يعطي قبل ما تطلبه,LLM,Bedouin,Medium,Positive
172,ما كل من ركب الخيل فارس,Twitter,Bedouin,High,Neutral
173,السر إذا طلع من ثنين ما يبقى سر,Twitter,Bedouin,Medium,Neutral
174,اللي يحفر حفرة لأخوه يقع فيها,LLM,Bedouin,Medium,Neutral
175,الحر ما يأكل بثدييه,LLM,Bedouin,High,Neutral
176,إذا كان خويّك حلو لا تاكله كله,LLM,Bedouin,Medium,Positive
177,ضربة المعلم بألف ضربة,Facebook,Bedouin,Medium,Positive
178,الليل بالصحرا ساكن والنجوم زينة السما,Facebook,Bedouin,High,Positive
179,المطر نزل والأرض اخضرّت والحمد لله,Twitter,Bedouin,High,Positive
180,الريح هبّت من الشمال والبرد قرصنا,LLM,Bedouin,High,Neutral
181,الصحرا واسعة وما لها حدود,Facebook,Bedouin,High,Neutral
182,نجمة الصبح بانت والفجر قرب,Twitter,Bedouin,High,Neutral
183,الوادي فاض من المطر والماء يجري,Twitter,Bedouin,High,Neutral
184,حر الصيف بالصحرا ما يتحمله إلا البدوي,Facebook,Bedouin,High,Neutral
185,الشمس غربت والليل جا بهدوءه,Twitter,Bedouin,Medium,Neutral
186,الرمل يلمع تحت الشمس زي الذهب,LLM,Bedouin,High,Neutral
187,البير عميق والماء بارد وعذب,LLM,Bedouin,High,Positive
188,السماء صافية والنجوم كثيرة الليلة,LLM,Bedouin,Medium,Positive
189,الربيع جا والأرض لبست ثوب أخضر,LLM,Bedouin,High,Positive
190,رياح السموم حارة وتلفح الوجه,Facebook,Bedouin,High,Negative
191,الثلج نزل على الجبال وبيّض الراس,Facebook,Bedouin,Medium,Neutral
192,القمر بدر الليلة والدنيا منوّرة,Twitter,Bedouin,Medium,Positive
193,ماء المطر أحلى من ماء البير,LLM,Bedouin,High,Positive
194,الصحرا بالليل باردة وبالنهار حارة,Facebook,Bedouin,High,Neutral
195,العاصفة الرملية جات وما خلّت شي باين,Facebook,Bedouin,High,Negative
196,النخل طرح بلح وتمر والحمد لله على النعمة,Twitter,Bedouin,High,Positive
197,الغيوم تجمعت وإن شاء الله مطر,Facebook,Bedouin,Medium,Neutral
198,الوديان خضرا بعد المطر والحلال يرعى فيها,Twitter,Bedouin,High,Positive
199,شمس الظهيرة تحرق بالصيف,Twitter,Bedouin,Medium,Neutral
200,الصقيع نزل بالليل والماء تجمّد,LLM,Bedouin,Medium,Neutral
201,ريحة المطر بالصحرا ما لها مثيل,LLM,Bedouin,High,Neutral
202,البراري واسعة والسما قريبة,Twitter,Bedouin,High,Neutral
203,الصحرا أمنا وبها ترعرعنا,Twitter,Bedouin,High,Neutral
204,المغرب حمر والشمس تودّع اليوم,LLM,Bedouin,Medium,Neutral
205,نار الحطب بالليل دفا ونور,Facebook,Bedouin,High,Positive
206,الجبل عالي والطريق صعب بس نوصل,LLM,Bedouin,Medium,Positive
207,ماء الغدير صافي وبارد بعد المطر,LLM,Bedouin,High,Neutral
208,وين رايح يا ولد من الصبح,LLM,Bedouin,Medium,Neutral
209,قم سوّ لنا شاهي على النار,Facebook,Bedouin,Medium,Neutral
210,الحريم يسوّن الخبز على الصاج,LLM,Bedouin,High,Neutral
211,يا ولد روح جيب حطب للنار,Facebook,Bedouin,High,Neutral
212,اقعد يا رجال خلنا نتسامر شوي,Twitter,Bedouin,Medium,Neutral
213,البرد الليلة قارس وعلينا نولع النار,Facebook,Bedouin,High,Neutral
214,الخيمة منصوبة والفراش جاهز,LLM,Bedouin,High,Neutral
215,سويت قرصان على الجمر وطلعت زينة,Twitter,Bedouin,High,Positive
216,الصبح بدري وعلينا نسرح الحلال,Twitter,Bedouin,High,Neutral
217,طبخنا مندي على الحفرة وريحته تفتح النفس,Facebook,Bedouin,High,Positive
218,خل البنات يغزلن الصوف نبي نسوي بيت شعر,Twitter,Bedouin,High,Neutral
219,الجدة تسوّي السمن البلدي من الحليب,Twitter,Bedouin,High,Neutral
220,قبل الفجر نصحى ونبدأ يومنا,LLM,Bedouin,High,Neutral
221,الرجال قاعدين بالمجلس يتسامرون,Facebook,Bedouin,Medium,Neutral
222,يا بنت سوّي لنا عصيدة الليلة,LLM,Bedouin,High,Neutral
223,الماء شحّ والبير بعيد علينا,Facebook,Bedouin,High,Negative
224,جمعنا الحطب من البر وكومناه,Facebook,Bedouin,High,Neutral
225,الخيمة دافية والنار مشتعلة,LLM,Bedouin,High,Positive
226,نشرب الشاهي بالنعناع بعد العشا,Facebook,Bedouin,Medium,Neutral
227,الحريم يطحنّ البن للقهوة,Twitter,Bedouin,High,Neutral
228,يا ولد وين حطيت الحبل,Facebook,Bedouin,Medium,Neutral
229,طلعنا للبر نتمشى ونقنص,LLM,Bedouin,High,Neutral
230,اليوم حار وما نقدر نطلع,Facebook,Bedouin,Medium,Neutral
231,الحمد لله على السلامة من وين جاي,Facebook,Bedouin,Medium,Positive
232,بكرة نرحل ونضرب الخيام بمكان ثاني,Twitter,Bedouin,High,Neutral
233,الماء قليل ولازم نوفر فيه,LLM,Bedouin,Medium,Neutral
234,نحتطب من الأشجار اليابسة,LLM,Bedouin,High,Neutral
235,العيال يلعبون بالرمل والكبار يتسامرون,Twitter,Bedouin,High,Positive
236,شربنا لبن الناقة على الريق,LLM,Bedouin,High,Neutral
237,بيت الشعر واسع ويكفي الكل,Twitter,Bedouin,High,Neutral
238,العرس الليلة والربع كلهم حاضرين,LLM,Bedouin,High,Neutral
239,الأهازيج طالعة والفرحة عمّت الديرة,Facebook,Bedouin,High,Neutral
240,العريس من خيار شباب القبيلة,Facebook,Bedouin,High,Neutral
241,الذبايح كثيرة والعرس كبير,LLM,Bedouin,High,Positive
242,الحريم يزغردن والرجال يرقصون العرضة,Twitter,Bedouin,High,Neutral
243,مبروك يا ولدي الله يتمم بالخير,Facebook,Bedouin,Medium,Positive
244,السامر الليلة والشباب متحمسين,LLM,Bedouin,High,Neutral
245,العرضة النجدية بالسيوف والطبول,Twitter,Bedouin,High,Neutral
246,كل القبيلة حضرت تبارك للعريس,LLM,Bedouin,High,Positive
247,الخطوبة تمت والحمد لله على التوفيق,Facebook,Bedouin,Medium,Positive
248,المهر محدد وأهل البنت راضين,LLM,Bedouin,High,Positive
249,ليلة الحنا والبنات يغنّن,Facebook,Bedouin,High,Neutral
250,العرس على الأصول والتقاليد ما تتغير,Twitter,Bedouin,High,Neutral
251,الولادة سهلة والحمد لله والمولود بخير,Facebook,Bedouin,Medium,Positive
252,سمّينا الولد على اسم جده,LLM,Bedouin,High,Neutral
253,العقيقة بكرة وعزمنا الأهل والأقارب,LLM,Bedouin,High,Neutral
254,الختان عندنا عادة وما نتأخر فيها,Twitter,Bedouin,High,Neutral
255,المناسبة جمعت الأهل من كل مكان,Facebook,Bedouin,Medium,Neutral
256,الربع كلهم شاركوا بالفرحة,LLM,Bedouin,High,Positive
257,الهجيني طالع والشباب يرقصون,Twitter,Bedouin,High,Positive
258,مبروك العرس يا ابن العم الله يوفقك,Facebook,Bedouin,High,Positive
259,العرس بالبر أحلى وأوسع,Twitter,Bedouin,High,Positive
260,ذبحنا عشرين راس للعرس,LLM,Bedouin,High,Positive
261,الطبول تدق والأهازيج عالية,Facebook,Bedouin,High,Neutral
262,العروس من بنات العم والأهل فرحانين,Twitter,Bedouin,High,Positive
263,الحداء طالع والإبل تمشي عليه,Twitter,Bedouin,High,Neutral
264,المعرس سوّا عشا كبير لكل الربع,LLM,Bedouin,High,Neutral
265,الزفة الليلة والكل مدعوين,LLM,Bedouin,High,Neutral
266,فرحة العرس ما لها مثيل عند البدو,Twitter,Bedouin,High,Positive
267,الشعراء قالوا قصايد بالعرس,LLM,Bedouin,High,Neutral
268,الشيخ حكم بالعدل والكل رضي,LLM,Bedouin,High,Positive
269,العطوة تُقدم والوجوه تبيض,LLM,Bedouin,High,Positive
270,حكم القاضي نافذ وما فيه رد,LLM,Bedouin,High,Neutral
271,الصلح خير والعداوة ما تنفع أحد,Facebook,Bedouin,Medium,Neutral
272,الدية تُدفع بالإبل أو بالمال,LLM,Bedouin,High,Neutral
273,الجاهة راحت وطلبت السماح,LLM,Bedouin,High,Neutral
274,العرف عندنا قانون ما يخالفه أحد,Facebook,Bedouin,High,Neutral
275,كبار القبيلة جلسوا وحكموا بالعدل,Twitter,Bedouin,High,Positive
276,الذمة عندنا غالية ما تنباع,LLM,Bedouin,High,Positive
277,كلمة الرجال عقد ما يحتاج ورق,Facebook,Bedouin,High,Neutral
278,الشرف فوق كل شي عندنا,Twitter,Bedouin,High,Positive
279,المجلس قرر والكل لازم يلتزم,Facebook,Bedouin,High,Neutral
280,الحق يرجع لأهله مهما طال الزمن,LLM,Bedouin,Medium,Positive
281,الوسيط لازم يكون محل ثقة الطرفين,LLM,Bedouin,High,Neutral
282,العيب عندنا ما يُنسى بسهولة,Facebook,Bedouin,High,Negative
283,الجيرة لها حق وما ينتهك,Twitter,Bedouin,High,Neutral
284,الدخيل له الأمان عندنا,Facebook,Bedouin,High,Neutral
285,القبيلة تحمي أفرادها وما تخليهم,LLM,Bedouin,High,Neutral
286,عرف الأجداد ما يتغير بين يوم وليلة,LLM,Bedouin,High,Neutral
287,الصلح يبيّض الوجه ويرضي الطرفين,Twitter,Bedouin,High,Neutral
288,اللي يخالف العرف يعاقب من القبيلة,Facebook,Bedouin,High,Neutral
289,المنشد ينشد والقاضي يحكم,Twitter,Bedouin,High,Neutral
290,العطوة ما تنرد من أصحاب الشيم,LLM,Bedouin,High,Neutral
291,الشيخ يسمع الطرفين قبل ما يحكم,Twitter,Bedouin,High,Neutral
292,كلام الكبار يُسمع ويُحترم,Facebook,Bedouin,Medium,Neutral
293,الذمة والشرف أغلى من المال,Facebook,Bedouin,High,Positive
294,الجاهة تجي بالطيب وتطلب الصفح,Facebook,Bedouin,High,Positive
295,العدل أساس الملك والحكم,LLM,Bedouin,Medium,Positive
296,اللي ما يحترم العرف ما يحترمونه الناس,Facebook,Bedouin,High,Neutral
297,القبيلة كلها مسؤولة عن أفعال أبنائها,LLM,Bedouin,High,Neutral
298,قلت قصيدة بالمجلس وعجبت الحضور,Twitter,Bedouin,High,Positive
299,الشاعر بدأ يلقي والكل ساكت يسمع,Facebook,Bedouin,High,Neutral
300,القصيد النبطي فن أصيل عندنا,Facebook,Bedouin,High,Positive
301,شعر الغزل حلو لكن شعر الحماسة أحلى,Twitter,Bedouin,Medium,Positive
302,المحاورة بين الشاعرين سخنت الجو,Twitter,Bedouin,High,Neutral
303,يا شاعر قل لنا أبيات تفرح القلب,Twitter,Bedouin,High,Neutral
304,الشعر ديوان العرب ومرآة حالهم,Twitter,Bedouin,Medium,Neutral
305,كتبت قصيدة مدح بالشيخ,LLM,Bedouin,High,Neutral
306,الهجيني يُقال على ظهر الذلول,LLM,Bedouin,High,Neutral
307,شاعرنا معروف بقصايده الحلوة,LLM,Bedouin,High,Positive
308,المجالس تزيّنها القصايد والسوالف,LLM,Bedouin,High,Positive
309,الشعر يوصف اللي بالقلب ما تقدر تقوله,Twitter,Bedouin,Medium,Neutral
310,قصيدة الحماسة ترفع الهمة,LLM,Bedouin,Medium,Neutral
311,الشاعر المليح يعرف يوزن الكلام,Facebook,Bedouin,High,Neutral
312,النبط فن قديم وأصيل عند البدو,Facebook,Bedouin,High,Positive
313,يا شاعر زدنا من القصيد الحلو,LLM,Bedouin,High,Positive
314,الشعر ينقل أخبار القبايل,Facebook,Bedouin,High,Neutral
315,المسامرة حلوة مع القصيد والقهوة,LLM,Bedouin,High,Positive
316,القصيدة اللي قالها عمي ما زالت تنقال,LLM,Bedouin,High,Neutral
317,الشاعر يمدح ربعه ويفخر بهم,LLM,Bedouin,High,Positive
318,رحلنا من الديرة وضربنا الخيام بالشمال,Facebook,Bedouin,High,Neutral
319,الطريق طويل بس الله يسهّل,Facebook,Bedouin,Medium,Neutral
320,حملنا أمتعتنا على الجمال ورحلنا,LLM,Bedouin,High,Neutral
321,المرعى بعيد ولازم ننتقل له,LLM,Bedouin,High,Neutral
322,النجعة هالسنة للشمال والربيع هناك,LLM,Bedouin,High,Positive
323,الدرب طويل والصحرا واسعة بس نعرف الطريق,LLM,Bedouin,High,Neutral
324,وصلنا بعد سفر طويل والحمد لله,Twitter,Bedouin,Medium,Positive
325,خيامنا بمكان جديد والماء قريب,LLM,Bedouin,High,Neutral
326,النجوم دليلنا بالليل بالصحرا,Twitter,Bedouin,High,Neutral
327,مشينا يومين ووصلنا المرعى الجديد,LLM,Bedouin,High,Neutral
328,الإبل محملة والرحلة بدأت,LLM,Bedouin,High,Neutral
329,نتنقل مع الخصب والمطر,Facebook,Bedouin,High,Neutral
330,كل موسم ننتقل لمكان أحسن,Twitter,Bedouin,High,Positive
331,الحل والترحال عادتنا من القدم,LLM,Bedouin,High,Positive
332,وصلنا الماء والإبل ارتوت,Twitter,Bedouin,High,Neutral
333,الخيمة انضربت والمكان حلو,LLM,Bedouin,High,Neutral
334,سرنا بالليل وبالنهار نستريح,Facebook,Bedouin,High,Neutral
335,الطريق وعر بس الرجال ما توقفوا,Facebook,Bedouin,Medium,Neutral
336,نعرف كل درب بالصحرا من زمن جدودنا,Facebook,Bedouin,High,Neutral
337,الرحلة تحتاج صبر وعزيمة,Twitter,Bedouin,Medium,Positive
338,وش لون الحال,LLM,Bedouin,Medium,Neutral
339,الله يعطيك العافية,Twitter,Bedouin,Medium,Positive
340,يعافيك ربي,Twitter,Bedouin,Medium,Neutral
341,وش عندك اخبار,LLM,Bedouin,Medium,Neutral
342,تراها بسيطة لا تكبّرها,LLM,Bedouin,Medium,Neutral
343,خل عنك لا تشيل هم,LLM,Bedouin,Medium,Neutral
344,يا زينك يا ولد,Facebook,Bedouin,Medium,Positive
345,الله يسلمك يا خوي,Twitter,Bedouin,Medium,Positive
346,مشكور يا طيب,Twitter,Bedouin,Medium,Positive
347,الله لا يهينك,Twitter,Bedouin,Medium,Neutral
