text,Dialect,sentiment,confidence
"يا ويلي على ريحة الشتا بعمان، بتحس الشوارع  بتتنفس وبترجعلك ذكريات الطفولة والمدرسة زمان    ",ammani,positive,high
الواحد بس بدو يغير جو بروح على شارع الرينبو بتمشى وبشرب كاسة شاي وبستمتع بالمنظر,ammani,positive,high
"الناس بعمان طيبين وبحبوا المساعدة، لو سيارتك تعطلت بتلاقي مية واحد فزعلك وبدو يساعدك",ammani,positive,high
يوم الخميس بعمان هو اليوم العالمي للعجقة والطلعات,ammani,neutral,high
بتحس حالك غريب لو مشيت بشارع وما سمعت حدا بنادي على حدا وبقله يا كبير,ammani,neutral,high
يا زلمة فكك من القصص هاي وخلينا نركز بمستقبلنا بدل ما نضلنا نتحسر عالماضي,ammani,positive,high
"والله إنك نغش زيادة عن اللزوم، بس يلا بنمشيلك اياها عشان الخبز والملح اللي بينا",ammani,neutral,high
فلان مفكر حاله قطاعة وهو مش عارف وين الله حاطه بكل السولافة هاي يا صاحبي,ammani,negative ,high
"اجا يكحلها عماها، مفكر حاله بحل المشكلة وهو زاد الطين بلة وعقد الأمور زيادة كمان",ammani,negative ,high
"القصة مش قصة مصاري، القصة قصة برستيج وناس بدها تبين حالها وهي على حديدة",ammani,negative ,high
"يا كبير والله إنك كفو وما قصرت معنا، دايماً بتبيض الوجه بكل المواقف الصعبة",ammani,positive,high
شو مالك شابك معي خط اليوم؟ صلي على النبي وروق وخلينا نتفاهم بالهداوة يا غالي,ammani,negative ,medium
"لا تضل تنق فوق راسي، اللي صار صار وبدنا نشوف كيف بدنا نصلح الوضع هسا",ammani,neutral,high
"أيام الجامعة بالاردنية كانت أحلى أيام، بين المحاضرات والقعدة على الدرج وضحك الشباب دايماً",ammani,positive ,high
"المدير بالشغل مفكرنا روبوتات، بدو الشغل يخلص مبارح وهو لسا معطينا اياه اليوم الصبح بدري",ammani,negative ,high
فترة الامتحانات بالجامعة عبارة عن توتر وشرب قهوة زيادة وسهر للصبح عشان نلحق نخلص المادة,ammani,negative ,high
"أحلى شعور لما ينزل الراتب وتشوف المسج على التلفون، بتحس حالك صرت غني لمدة ساعتين بس",ammani,positive ,high
"سوق العمل بدو واحد شاطر وبفهم بالسوق، مش بس شهادات كرتون معلقة على الحيطان بالبيت",ammani,neutral,high
"الواحد بكون متحمس للدوام يوم الأحد، وبس يوصل المكتب بصير يتمنى يجي يوم الخميس بسرعة",ammani,neutral,high
"الدراسة بطلت زي زمان، هسا كل إشي صار أونلاين والواحد بطل يركز زي لما كان بالقاعة",ammani,negative ,medium
"يا رب توفيقك بكل خطوة، الواحد بشتغل وبيتعب عشان يأمن مستقبله ويقدر يعيش حياة كريمة",ammani,neutral,high
يا زلمة والله أزمة شارع المدينة المنورة اليوم بتخلي الواحد يندم إنه فكر يطلع من باب بيته أصلاً,ammani,negative ,high
"نزلت على وسط البلد واشتريت صحن قدسية من عند أبو جبارة، الطعم لسه زي ما هو من أيام الطفولة",ammani,positive,high
"رحت أجرب المطعم الجديد اللي طالع تريند على التيك توك، الصراحة الأكل عادي بس الديكور هو اللي ضارب",ammani,negative ,high
"الجو اليوم بعمان مش طبيعي، مرة شوب ومرة برد، الواحد مش عارف يلبس صيفي ولا يخلي الشتوي بالخزانة",ammani,neutral,high
"مشان الله يا جماعة حدا يحكي لتبعون التكاسي إنه اللوكيشن اختراع عظيم، مش لازم أشرحلك قصة حياتي لتوصلني",ammani,negative ,high
"في ناس بضلوا ينزلوا صور قهوة وفيروز الصبح، يا عمي إحنا يادوب نصحصح ونفتح عيونا لنلحق الباص السريع",ammani,neutral,high
"الباص السريع صار هو المنقذ الوحيد لإلنا من أزمة السير الخانقة، بس المشكلة إنه دائماً فل ومسكر عالاخر",ammani,neutral,high
"كل ما أقرر أعمل دايت، بتطلعلي إعلانات الشاورما والبرغر اللي بتخلي الواحد يضعف قدام الصوصات والجبنة السايحة",ammani,neutral,high
"يا جماعة الخير، اللي عنده واسطة بشركة الكهرباء يزبطنا لأنه الفاتورة هالمرة جاية بتجلط ",ammani,negative ,high
أمي بتضل تحكيلي قوم ادرس الله يرضى عليك وأنا بكون ماسك الموبايل وعامل حالي مش سامعها ,ammani,neutral,high
"لما تروح تزور قرايبك ويقعدوا يسألوك متى بدنا نفرح فيك؟، بكون بدك تنشق الأرض وتبلعك من كتر الإحراج",ammani,negative ,high
"قعدة البلكونة بالمغربيات مع كاسة شاي بالمرمية بتسوى الدنيا وما فيها، خصوصاً لما يكون الهوا بارد",ammani,positive,high
"رحت أشتري غراض للعيد ولقيت الأسعار نار، صاير الواحد بده ميزانية دولة عشان يكسي ولاده لبسة وحدة بس",ammani,negative ,high
"لما أبوي يبلش يحكي عن ""أيام زمان"" وكيف كانت الدنيا رخيصة والناس لبعضها، بنحس قديش الحياة تغيرت وصارت صعبة",ammani,negative ,high
اليوم ركبت مع شوفير تكسي حكالي قصة حياته من لما انولد لحد ما صار يشتغل على السيارة,ammani,neutral,high
"دخلت على محل اواعي وحكيت للموظف بدي بس أتفرج، ضله ماشي وراي  كأني ناوي أسرق المحل",ammani,negative ,high
"قلاية البندورة بالثوم والفلفل الحار هي العشق الأبدي، خصوصاً إذا كانت معمولة على نار هادية وبزيت زيتون أصلي",ammani,positive,high
"الكنافة من عند حبيبة بوسط البلد إلها طقوس خاصة، لازم توقف بالدور وتوكلها وأنت واقف عالرصيف لتستمتع",ammani,positive,high
"اليوم عملنا مقلوبة، وطلعت القلبة تبعتها احترافية لدرجة إني صورتها ونزلتها ستوري على طول من الفرحة",ammani,positive,high
"ما في أزكى من خبز الطابون وهو طالع من الفرن سخن، مع شوية لبنة وزيت وزعتر بلدي بكون الطعم خيالي",ammani,positive,high
"اليوم جربنا مطعم برغر جديد، اللحمة كانت جوسي والبطاطا مقرمشة، بس السعر كان شوي أوفر",ammani,neutral,high
درست أربع سنين بالجامعة وبالآخر بشتغل بمجال بعيد كل البعد عن تخصصي,ammani,neutral,high
"اشتريت سيارة هايبرد عشان أوفر بنزين، لقيت حالي عم بصرف اللي وفرته على قطع الغيار اللي أسعارها نار",ammani,negative ,high
"لما أشوف شباب عم بوزعوا تمر ومي وقت الأذان بالشوارع، بحس بفخر كبير ببلدي وبأخلاق شعبنا العظيمة والمميزة",ammani,positive,high
بتذكر لما كنا نلعب فطبل بالحارة ونكسر شباك الجيران,ammani,neutral,high
"أيام زمان كانت الناس تنام وأبواب بيوتها مفتوحة، هسا صرنا نحط مية قفل وكميرات مراقبة",ammani,negative ,high
الجيل الجديد ما بعرف شو يعني أتاري,ammani,neutral,high
"مشكلة الجروبات تبعت العيلة إنها دايماً مليانة رسايل صباح الخير"" وصور ورود",ammani,neutral,high
"التيك توك خلى كل الناس مفكرة حالها مشهورة، بتلاقي الواحد بصور فيديو وهو عم بوكل وبستنى الملايين تتابعه",ammani,neutral,medium
"رحت على سيتي مول يوم الجمعة، والزحمة كانت لدرجة إني قعدت ساعة بس أدور على مكان أصف فيه سيارتي",ammani,negative ,high
"قعدة جبل القلعة بوقت الغروب بتعطيك منظر لعمان ما بتشوفه بأي مكان تاني بالعالم، فعلاً لوحة فنية ربانية",ammani,positive,high
"رحت على إربد يوم العطلة وأكلت مكمورة، والله الأكل الشمالي إله نكهة خاصة بتخليك توكل أصابعك وراه من الزكاوة",ammani,positive,medium
يا أخي النفسية محتاجة طشة على العقبة نغير فيها جو ونشم ريحة البحر وننسى كل هموم الشغل والدراسة,ammani,positive,high
"جاري بضل يشغل أغاني عالية بنص الليل، شكلي رح أروح عليه وأحكيله يا حبيبي ارحمنا شوي بدنا ننام",ammani,negative ,high
"يا رب يرزقنا بشنطة فيها مليون دولار، ونروح نشتري فيلا بعبدون ونخلص من إيجار البيوت اللي كسر ظهرنا",ammani,positive,medium
أمانة عمان لو بس يزفتوا هالحفرة اللي بطلعة جبل الحسين بكونوا عملوا  أكبر معروف هالسنة,ammani,negative ,medium
ياخي والله أزمة الشوارع بتخلي الواحد يندم إنه طلع من بيته أصلاً,ammani,negative ,high
"ياخي ارحمنا من هالهبد على تويتر، كل واحد صار عامل حاله خبير اقتصادي ومحلل سياسي هسا",ammani,negative ,high
أديش بدك وقت لتخلص المشروع؟ ياخي الديدلاين قرب وإحنا لسه ما سلمنا الداتا,ammani,negative ,high
"بأدرش أطلع معك هلأ، عندي ميتينغ مع التيم ولسا  ما خلصت شغلي",ammani,neutral,high
أديش سعر هاد الموبايل؟ ياخي الأسعار بالسوق صارت بتجلط والواحد بطل يلحق,ammani,negative ,high
هسا أنا بأول إنه الواحد لازم ياخد استراحة ويروح يشم هوا بشارع الستين بالسلط,ammani,positive,high
هلأ صار في كافيهات بكل زاوية بعمان,ammani,neutral,high
أوم خلينا نصلي ونطلب من ربنا التوفيق,ammani,neutral,high
"هسا تأكدت إنه أحلى شي بعمان هو صوت بياع الكعك الصبح، بذكرني بأيام زمان والبركة",ammani,positive,medium
هلأ إذا نزلت على شارع الرينبو بكون أزمة؟ ياخي حابب أتمشى هناك وأشوف الناس والجو,ammani,neutral,high
أديش بدك وقت لتخلص كتابة الـدوكيومينتيشن؟ ياخي صارلنا قرن شغالين عليه وما خلص,ammani,negative ,high
هسا بالله عليك هاد تصميم الواجهة؟ ياخي الألوان بتوجع العين,ammani,negative ,medium
سقى الله لما كنا نأعد ع الدرج بوسط البلد ونحكي لساعات طويلة بدون ما نزهق,ammani,positive,high
"أهري على اللابتوب اللي خرب فجأة، هسا كيف بدي أكمل كتابة الكود وأسلم المشروع؟",ammani,negative ,high
"ياخي ليش دايماً بس أقرر أعمل دايت، أمي بتطبخ منسف أو مقلوبة بتشهي وبتخربلي كل شي؟",ammani,negative ,medium
"بأدرش أنسى فضل الدكتور اللي علمني كيف أكتب أول كود بايثون بحياتي، الله يجزيه الخير",ammani,positive,high
هلأ الدنيا برد والواحد ماله غير صحن شوربة عدس ويدفى تحت الحرام ويحضر فيلم حلو,ammani,positive,high
"ياخي والله الأردنية إلها هيبة ومكانة بقلوبنا كلنا، ورح تضل هي أم الجامعات دايماً",ammani,positive,medium
هسا بالله عليك هاد ألب ولا حجر؟ كيف بتقدر تترك البسة بالبرد برا؟,ammani,negative ,high
هسا تأكدت إنه أحلى شي بالدنيا هو راحة البال,ammani,positive,medium
"هسا رنيت ع المطعم وحكالي أربت الوجبة تجهز، ياخي متت من الجوع والله",ammani,neutral,high
"بأولوا إنه في مطعم بيعمل فلافل محشي بيجنن بآخر الشارع، خلينا نروح نجربه هسا",ammani,positive,high
ياخي صارلنا ساعة بنخطط وبالآخر بتحكيلي مش جاي معنا ع الرحلة؟,ammani,negative ,medium
أديش بدك وقت لتجهز حالك؟ ياخي الباص رح يروح علينا وإحنا لسه بنستنى فيك تلبس,ammani,negative ,high
"ياخي ارحمنا من هالبوستات اللي ما الها داعي، كل واحد صار بدو يتفلسف علينا من ورا الشاشة",ammani,negative ,medium
يا زلمة والله حكيتلهم مية مرة إنه المشروع بدو وقت,ammani,negative ,high
"دير بالك وأنت طالع، الأزمة برا بتجلط وبعدين بديش تتأخر على موعدك.",ammani,negative ,high
"يا زم ما بعرف وين زتها للمفاتيح، كانت هون قبل شوي جوا البيت",ammani,negative ,high
دنام هسا لأنه راسي رح ينفجر,ammani,negative ,high
بعدين بنحكي بطلباتكم اللي ما بتخلص,ammani,negative ,high
يا زلمة زتها ورا ظهرك ولا تضل تفكر بكلماتهم,ammani,neutral,high
دير بالك على حالك وأنت بتسوق,ammani,neutral,high
"يا زم بديش أسمع ولا كلمة عنهم، همّ الخسرانين بأسلوبهم هاد",ammani,negative ,high
"يا زم ما بعرف شو مالهم اليوم، الكل قالب بوزو",ammani,negative ,high
"زتها بالخزانة وخلصنا، بديش أشوف كراكيب جوا البيت بالمرة",ammani,negative ,high
"يا زلمة هيك الحياة بدها طولة بال، وبعدين ربنا بفرجها عليكم وعلينا",ammani,positive,high
"دير بالك من كلامهم، ترى أغلبه حكي فاضي وبديش إياك تتأثر هيك",ammani,neutral,high
" دنام ومحدش يصحيني، ما بعرف كيف رح أخلص شغلكم بكرة",ammani,negative ,high
"يا زلمة بديش مشاكل جوا البيت، حلو أموركم بهدوء وبدون صراخ",ammani,negative ,high
"ما بعرف ليش الكل عامل هيك دراما، القصة بسيطة وما بدها كل هاد",ammani,neutral,high
" زت هالشنتة جوا البيت وتعال نؤعد شوي، اشتأنالكم والله",ammani,positive,high
"ما بعرف وين صاروا هسا، دير بالك يكونوا تاهوا بالطريق",ammani,neutral,medium
"يا زم بديش أروح معهم، أسلوبهم بالحكي بنرفزني وبطلعني عن طوري",ammani,negative ,medium
بديش أعيد نفس الحكي مية مرة,ammani,neutral,medium
"بديش نطلع هسا، الجو شوب كتير برا والناس فوء بعضهم",ammani,negative ,high
"بديش إياكم تزعلوا مني، بس والله كنت مضغوط وما عرفت شو أحكي",ammani,positive,medium
"بدي أنام هلأ، تعبانة كتير من طريق السفر",ammani,negative ,high
أديش بدك وقت لتجهز؟ هلأ بنتأخر والناس بتستنى,ammani,neutral,high
هلأ صار لازم نأعد ونحكي بالموضوع,ammani,neutral,high
ياخي والله ألبك طيب,ammani,positive,high
إذا رحت ع السوق بلاقي أشياء رخيصة؟ ياخي الأسعار صارت نار,ammani,neutral,medium
"والله اشتأتلك، هلأ كنت عم بفكر أرن عليك ونطلع",ammani,positive,high
"هلأ الدنيا مطر والجو بياخد العقل، ياخي عمان غير بالشتا",ammani,positive,high
"بأدرش أصدق إنه هيك صار، هلأ كنا عم نضحك سوا",ammani,negative ,high
أوم  خلينا نلحأ المحل قبل ما يسكر,ammani,neutral,high
ياخي ارحمنا من أصصك  اللي ما بتخلص,ammani,negative ,high
"والله أهرتني بتصرفك هاد، هلأ كيف بدي أثق فيك؟",ammani,negative ,high
"بؤلوا  إنه الجو بكرة بجنن، خلينا نطلع رحلة",ammani,positive,high
يا زلمة صارلي ساعة بستنى فيكم,ammani,negative ,high
"هلأ بس خلصت شغل، بحس حالي بأدر  أنام سنة كاملة من التعب",ammani,positive,high
"ما بعرف وين زتها للورقة، كانت معي لما كنا بنحكي جوا البيت",ammani,negative ,high
"هلأ بس أدرت أفهم ليش همّ زعلانين، الصراحة معــهم حق",ammani,neutral,high
"هلأ إذا ألتلــهم عن الخبر، رح يكيفوا",ammani,positive,high
"يا زلمة ما بعرف كيف بتتحملــهم، أسلوبهم بالحكي مستفز كتير",ammani,negative ,high
"دير بالك لا تـوأع من إيدك، يا زم هاي القطعة كتير غالية",ammani,neutral,high
"ما بعرف ليش همّ متمسكين برأيـهم، يا زلمة الحق مبين وواضح",ammani,negative ,medium
"حطها بالتلاجة وبعدين بنوكلها، بديش إياها تخرب بهاد الشوب",ammani,neutral,high
"هلأ بس خلصت دراسة، بحس حالي بأدر أعمل أي شي صراحة",ammani,positive,high
يا زم بديش أروح معكم,ammani,negative ,medium
"بديش أشوفك زعلان هيك،تعال نوكل شاورما ونغير جو",ammani,positive,medium
ما بعرف وين زت المفتاح,ammani,negative ,medium
"ما بعرف ليش همّ مصرين يضلوا جوا البيت، الجو برا بجنن",ammani,neutral,medium
دير بالك على دراستــك لأنها بتنفعك,ammani,neutral,medium
"هلأ بس خلصت تنضيف، بحس براحة نفسية مش طبيعية",ammani,positive,high
"يا زلمة دير بالك على أهلك، همّ اللي بضلولك بالأخر وبديش تضيعهم",ammani,positive,high
" بديش فلسفة، حلوا مشاكلكم بعيد عني وعن وجع راسي",ammani,negative ,medium
"دير بالك ترى الحيط لساتو دهان جديد، بديش حدا يلمسه جوا البيت",ammani,neutral,medium
"هلأ إذا ألتلــهم إنك مسافر، رح ينصدموا كتير بقرارك",ammani,neutral,high
"هلأ بس أدرت أفهم ليش همّ بيحكوا عنكم، الصراحة محدا طايئــكم",ammani,negative ,high
دير بالك لا تـوأع الكاسة,ammani,neutral,high
هلأ صار لازم نؤوم ونروح,ammani,neutral,high
"يا زلمة هيك الحياة تجارب، دير بالك من الناس اللي ما بتعرفــهم",ammani,neutral,medium
"شو مالكم اليوم، كأنكم مش طايئين حالكم",ammani,negative ,high
"دير بالك لا تخليهم يضحكوا عليكم، خلوكم أذكى منهم بكثير",ammani,positive,high
"يا زم زتها وريح راسك، بعدين رح تكتشف إنه هاد كان أحسن قرار",ammani,positive,medium
"يا زم هيك الناس للناس، وبعدين ربنا بوفقنا كلنا للي فيه الخير",ammani,positive,medium
لز شوي خليني أقعد معكم,ammani,neutral,medium
"دير بالك منه، هاد زلمة بضل يخرط عليكم وبعدين بتورطوا بمشاكله",ammani,negative ,medium
"يا زلمة لز غراضك شوي، دنام هون وما في وسع",ammani,negative ,high
"لز شوي يا زم، بديش أضل واقف وبعدين رجليّ بصيروا يوجعوني",ammani,negative ,high
"فكك من خرط السوشيال ميديا، أغلبه حكي فاضي",ammani,negative ,medium
هلأ صار بدكم تقنعوه؟ هاد زلمة تنح وما بعرف كيف بتتحملوه,ammani,negative ,high
"ما بعرف ليش هيك هو تنح بزيادة، جوا البيت الكل تعب من أسلوبه",ammani,negative ,high
"دنام هسا وبديش أحكي مع حدا تنح زيك، جلطتني رسمياً",ammani,negative ,high
"لا تضل تنح هيك، خلّينا نخلص هالشغل وبعدين ارتاح",ammani,neutral,high
"لازم نئوم ونتركهم، الناس الـتنحة بتعبوا الألب",ammani,negative ,high
"والله العزومة كانت اشي اشي، كرمــكم دايماً ببيّض الوجـه وما بعرف كيف أشكركم",ammani,positive,high
روح زت هالـشاكوش من إيدك,ammani,negative ,high
دير بالك ترى هو كتير زنخ,ammani,negative ,medium
زتها للملفات عالمكتب وخلّينا نبلش تعزيل بالأوراق القديمة,ammani,neutral,high
"بطل تمشي مع ناس سبهللة، خليك مع اللي برفعوا راســكم بــأخلاأهم",ammani,positive,high
هلأ الدنيا صارت بتجنن بعد الــتعزيل,ammani,positive,high
تعال نــأعد نشرب قهوة عالبلكونة,ammani,neutral,high
"دير بالك ترى الإدارة مش سبهللة، لازم نركز بشغلنا عشان نطلع نتيحة اشي اشي",ammani,positive,high
"بس خلصنا تعزيل الغرف، البيت صار يلمع لمع وطلع اشي اشي",ammani,positive,medium
كيف حالكم؟ نورت عمان بوجودــكم,ammani,positive,medium
"على راسي يا خوي، كل اللي طلبتوه رح يصير ومن عيوني الثنتين هسا",ammani,positive,high
"يا زم روح غاد أنت والـخرط تبعك، بديش أسمع ولااشي منك",ammani,negative ,high
أنا امسطل ع الأخر وبأدرش  أركز بشغلــكم هيك,ammani,negative ,high
"ما بعرف وين زتها للـجرابين، شوفة عينك كل الغرفة مكركبة بدها تعزيل",ammani,negative ,high
"هلأ صار بدكم مساعدة؟ على راسي من فوء، ابشروا باللي بدكم إياه",ammani,positive,high
"اترك هالــزناخة وروح غاد، يا زلمة جلطتني بــتناحتــك هاي",ammani,negative ,high
"ما بعرف ليش هو امسطل دايماً، شكلــه بسهر كتير بالليل",ammani,neutral,high
"يا زلمة جرابينــك دايماً ضايعين، حط غراضك بالخزانة وخلصنا من هالــسبهللة",ammani,negative,high
من عيوني بــأدر أخلص الداتا هسا,ammani,positive,high
دير بالك ترى هو امسطل وبؤول حكي خرط بـخرط,ammani,negative,high
"ما بعرف ليش هيك همّ، بتحكيلــهم روح غاد وبيرجعوا يــلزوا فيكم",ammani,negative,high
"لا تضل امسطل، أوم غسل وجهك عشان تركز بشغلك",ammani,neutral,high
"هلأ صار الشغل اشي اشي، على راسي والله يا مهندسين أبدعتوا بجهودكم",ammani,positive,medium
أنا حكيتلــهم قبل شوي إنه الـصحن لساته سخن,ammani,neutral,high
أنا بــأدر  أجيب لــكم أحلى صحن حلو هسا,ammani,positive,high
دير بالك وأنت بتركب الصورة ع الـحيط,ammani,neutral,high
بلكي منــعزل الساحة وبعدين بنعمل سهرة مرتبة,ammani,positive,high
"اطلع ع الخضار بـعـجـلـون، اشي اشي وبـيـاخذ العقل وبيرد الروح",ammani,positive,high
أنا بــأدر أحكيلــكم إنه فوزكم اليوم رفع راسنا كلنا,ammani,positive,high
بلكي إذا جربتوا الـمـكـمـورة بـإربـد رح تــؤولوا  إنها أزكى صحن دؤتوه,ammani,positive,high
"يا زم زتها لهالهموم واطلع ع المستقبل، بلكي ربنا بفتح لــكم أبواب الرزق",ammani,positive,high
"بلكي بنــعزل الحديقة سوا، وبعدين بنــأعد نشرب أهوة سادة بـرواء",ammani,positive,high
قبل شوي شميت ريحة خبز طابون سخن,ammani,neutral,high
قبل شوي كنت بــؤول الــهم إنه الـكرم بـالأردن ما إله حدود,ammani,neutral,high
"أنا مجهز لــكم صحن مقلوبة دجاج، ابشروا بـأكلة بتــبـيـض الوجـه",ammani,positive,high
"هلأ بس شفت النتائج، تأكدت إنه تعبنا بالمشروع ما راح ع الفاضي أبداً",ammani,positive,high
"يا زلمة لز لغاد شوي، الطاولة مكركبة غراض وما في وسع أحط اللابتوب",ammani,negative,high
قبل شوي رن عليّ المدير وحكالي إنه الشغل تبعنا طالع اشي اشي ومرتب,ammani,positive,high
"بديش فلسفة زايدة، أعطيني الصافي وخلصني عشان نلحق نسلم المهمة",ammani,negative,high
"والله إنك نشمي، دايماً بتبين وقت الضيق وبترفع الراس بمواقفك",ammani,positive,high
"هلأ الدنيا صارت ربيع، الجو بياخد العقل وطلعات المغربيات بتفتح النفس",ammani,positive,high
"دير بالك لا توقع بالخطأ اللي وقع فيه غيرك، خليك واعي ومنتبه",ammani,neutral,high
"لساتني امسطل ع الآخر، القهوة لسه ما عملت مفعولها براسي",ammani,negative,high
المنسف اللي أكلوه الشباب اليوم كان اشي فاخر ع الآخر,ammani,positive,high
بلكي بنخلص بكير وبنطلع نغير جو بعبدون,ammani,neutral,high
"ما بعرف وين ضاعت المفاتيح، لساتني كنت ماسكهم بإيدي قبل شوي",ammani,negative,high
"اطلع كيف الجو صار، بكرة أكيد رح تثلج ولازم نأمن أغراضنا",ammani,neutral,high
ليش حياتك ماشية سبهللة؟ لازم تحط خطة لمستقبلك,ammani,negative,high
"تعزيل البيت اليوم جلطنا، طلع في غبار تحت الكنبايات من سنة",ammani,negative,high
"بديش وجع راس، خليني أخلص هالمهمة وأروح أنام لأني تعبان كتير",ammani,negative,high
"أيام سهرات الصيف بالحارة، كنا نضحك من كل قلبنا",ammani,positive,high
"اترك الـشاكوش من إيدك، هسا بتخرب الجهاز وبنتبهدل",ammani,negative,high
"بلكي إذا رحنا ع العقبة بننبسط، الجو هناك دافي وبيرد الروح",ammani,positive,high
السهرة ع السطح مع كاسة شاي بالمرمية هي الـتوب,ammani,positive,high
"بديش فلسفة، روح غاد عني وخليني أركز بشغلي الله يرضى عليك",ammani,negative,high
بلكي بكرة بـتـشـمـس وبنطلع رحلة,ammani,positive,high
"يسلموا إيديك على هالجمعة الحلوة، جد انبسطنا كتير",ammani,positive,high
طالعين مشوار على جبل اللويبدة ناكل كنافة ونقعد بحديقة المتحف,ammani,neutral,medium
كنافة حبيبة بوسط البلد هي السعادة الحقيقية,ammani,positive,high
اليوم الجمعة ولمّة العيلة أحلى إشي,ammani,positive,high
بصراحة الخدمة بالمطعم اليوم كانت تحت الصفر,ammani,negative,high
"يا أخي فك عنا هسا، مش وقته بالمرة تفتح مواضيع بتوجع الراس وتزيد النكد علينا",ammani,negative,high
الشوارع هون كلها حفر وبتكسر السيارات تكسير,ammani,negative,high
سمعت إنه في منخفض جوي قوي جاي علينا الأسبوع الجاي,ammani,neutral,high
خليني أشوف جدولي بالجامعة وبحكي معك المسا عشان ننسق موعد لندرس المادة سوا,ammani,neutral,high
"بالنسبة لموضوع السيارة، أنا بفضل إنك تاخدها على ميكانيكي شاطر بالبيادر",ammani,neutral,high
السوق اليوم بوسط البلد كان هادي كتير والناس قليل,ammani,neutral,high
أنا رح أحكي مع المدير بكرة وأسأله عن موضوع الإجازة,ammani,neutral,high
"يا الله ما أحلى قعدة جبل القلعة وقت الغروب، بتحس حالك شايف عمان كلها تحتيك والهوى بيلفح وجهك وبينسيك تعب النهار كله",ammani,positive,high
كل الشكر لكل واحد وقف جنبي بمحنتي وساعدني لو بكلمة,ammani,positive,high
"النت عندي صاير يقطع بشكل مستفز، والشركة كل ما أحكي معهم بيحكولي المشكلة من عندك",ammani,negative,high
"احسب حسابك بكرة تلبس ثقيل لأنه حكوا بالأخبار إنه في كتلة هوائية باردة جاي، والحرارة رح تنزل كثير بالليل خصوصاً بالمناطق العالية",ammani,neutral,high
بدي أشوف قديش صار رصيدي بالبنك عشان أعرف إذا بقدر أشتري الغرض اللي حكينا عنه,ammani,neutral,high
خليني أتأكد من موعد الطيارة بالضبط عشان أطلع من البيت قبل بوقت,ammani,neutral,high
المطعم اللي حكيتلي عنه طلع مسكر للصيانة ورح يفتح الأسبوع الجاي,ammani,neutral,high
بكرة في اجتماع مهم بالشركة ولازم الكل يكون موجود على الساعة ثمانية الصبح,ammani,neutral,high
صارلي ساعة واقف على دور البنك والسيستم معلق,ammani,negative,high
"بدي أمر على المكتبة اللي قبال البوابة الشمالية للجامعة، بدي أشوف إذا وصل الكتاب الجديد اللي وصيت عليه قبل أسبوع عشان أبلش أقرأ فيه",ammani,neutral,high
احسب حسابك بكرة نروح نسجل المواد بدري عشان ما تروح علينا الشعب الكويسة,ammani,neutral,high
امتحانين بكرا قد راسي حتى الملحد يدعيلي,Ammani,Negative,High
اسبوع دوام مالوش داعي لو بلشو مع رمضان احسن,Ammani,Negative,High
طب مطعم الشاورما اللي بالحارة شو حيصير فيه ,Ammani,Negative,High
"عاد مبارح كانت ايش يا سوري مسبّة اليوم كلنا سوارنة
سبحان مغير الاحوال فعلا عقبالك البلجيك",Ammani,Neutral,High
