sentence,dialect,classification,confidence
يوم التنيين و التلات أنا مشغول,ammani (urban),neutral,high
يي عليك نطزتني و كنت رح أكب الأكل,ammani (urban),neutral,high
هاد اليوم كتير كتير متعب ,ammani (urban),negative,high
متى رح أقدر أشوفك يوم الخميس,ammani (urban),neutral,medium
ميت تعب عالآخر  و كثير هلكان ,ammani (urban),negative,medium
بديش اسمع صوتك لآخر هادي القعدة,ammani (urban),negative,medium
هدول الناس بيئة كتير مو طبيعي,ammani (urban),negative,high
كتير واحد مفلسف هاد ول عليه,ammani (urban),negative,high
اشتريت جاكيت جديد من وسط البلد بسعر كتير منيح,ammani (urban),positive,high
مش قادر أنام من الدوشة اللي عند الجيران,ammani (urban),negative,high
الزحمة كانت موت بس وصلت عالوقت بالزبط,ammani (urban),positive,high
الجو كان شوب كتير بس القعدة على الروف كانت تسوى كل شي,ammani (urban),positive,high
طولنا بالطابور بس لما دخلنا الأكل كان بشهي,ammani (urban),positive,high
الدكتورة طلبت منا نسلم التقرير ورقي مش على الإيميل,ammani (urban),neutral,medium
مش قادر أصدق إنو عمل هيك وما حكالي,ammani (urban),negative,high
طلع ناكر للجميل بعد كل اللي عملناه إلو,ammani (urban),negative,high
ولا مرة اعترف إنو غلط وهاد اللي بوجعني,ammani (urban),negative,high
لقيت شغل جديد وراتبو منيح كتير والجو فيه تمام,ammani (urban),positive,high
والله ما شفت ناس محترمة متلهم من زمان,ammani (urban),positive,high
رحت على هاض المكان ب ام قيس,ammani (urban),neutral,medium
يلي ماشاف بنات عمان راح عليه نص عمره بمزح مو قصدي ايش,ammani (urban),neutral,high
جميد الكركية زاكي والله انا من الاردن,ammani (urban),positive,medium
يمكن انا الاردنيه الوحيده الي ما بحب المنسف(منسميها لبن مو صوص),ammani (urban),neutral,medium
كيف عرفت انه احنا في الاردن,ammani (urban),neutral,medium
احم احم نسيتي تشوفي البترا بعدك ما شفتي شي,ammani (urban),neutral,high
كل يوم بشوف هالشغلة بشارع الرينبو,ammani (urban),neutral,medium
يزن نفسي اشوفك انا بالأردن في طبربور إنته وين,ammani (urban),neutral,medium
والله بحبك يا يزن العماد,ammani (urban),positive,medium
هه هه والله فرطت ضحك,ammani (urban),positive,medium
أحلى يزن النعيمات الله يسلمك يا رب,ammani (urban),positive,medium
ألمشكلة إنو ألمشيه بتضحك ههخ,ammani (urban),positive,medium
انا بدي اعرف هو رح يلعب على الارجنتين او لا يارب يلعب عشان نفوز عليهم,ammani (urban),neutral,medium
احلى اثنين يزن النعيمات وموسى التعمري,ammani (urban),positive,medium
تحياتي الى كل بلادنا العربيه رمز الاصاله والصمود من قلب الاردن هنا عمّان,ammani (urban),positive,medium
عادي يزن يوم تاني بفوزو الأردن. بحبك يزن. يارب تشفي بسلام بحبك يزن انا ازعلت. عليك ا كتير. لما اعرفت هاد الي صار,ammani (urban),positive,high
لن تتكرر هاي الحلقه في تاريخك يا رجائي,ammani (urban),positive,high
بعجبني فيك انك بتعرض مشاكل المجتمع بطريقة حلوة كل الاحترام يا وردة,ammani (urban),positive,medium
ياخي ليش احس هاد اكتر واحد حياته حلوة هو قاعد يستمتع و انا ادرس,ammani (urban),neutral,high
كيف بتعرف توكل و بإيدك كيس,ammani (urban),neutral,medium
الله يرحم جد كان ياكل هل ياكل منسف,ammani (urban),negative,high
جرب ابو حاتم للمشاوي بوسط البلد,ammani (urban),neutral,medium
واال كل هاد المشكله انو انا في عمان,ammani (urban),neutral,high
اسمو ارطغل ابنو عثمان مرتو عثمان بيلا اسم زوجت ارطغل حليمه بولند ابو امرو انو يتجوز تنين وعثمان تجوز ثانيه ملهوناتا,ammani (urban),neutral,high
حبيبتي العريس نفسه بكرة رح يكتشف انه اهله همة الصح,ammani (urban),neutral,high
صراحة كذاب مش زاكي والاكل غالي كثير,ammani (urban),negative,medium
لعبه تضلكم تاكلوا دهون جوعتونا جوعتونا,ammani (urban),neutral,high
جرب مطعم نبيع الشام كتير زاكي,ammani (urban),positive,high
اسعارها نار ولما رحنا على مطعمها شفناها كتير شايفه حالها,ammani (urban),negative,high
الي ما بعرف الرينبو ما بيفهم شو بيحكي بس رائع و صحيح 100%,ammani (urban),positive,high
والله انه فعلا لهلا هيك الشارع عندي نفس الشي .,ammani (urban),neutral,high
رجائي صاحب إطلاله مميزه بتمنالك التوفيق و على فكره انا مره شفتك و كنت حاب أنغش معك بس بعدين حسبتها و حكيت أختصر بلاش إتنتفني في الفيديو الي بعده هههه إموفق يا باشا,ammani (urban),positive,high
‏الله يشافيك يا ابن العمة وأنا بحبك كتير,ammani (urban),positive,high
يا حبيبتي بعد الفيديو بدي اعتزل الاردن,ammani (urban),neutral,medium
طمنيني ابو هيكل طرقك قتلة بالشارع ولا ماشافك,ammani (urban),negative,medium
هاد المدرج الروماني في الاردن,ammani (urban),neutral,high
الشب يلي بغني حلو كتير مجوز ولا مرتبط,ammani (urban),positive,high
هه والله انك افضل كويدي لازم تفتح الك قناه او على الاقل برنامج,ammani (urban),positive,medium
شارع عادي هو مش للدرجة هاي يا صديقي عايش بعمان مرة وحدة فوتو بحياتي بس مجرد مرور مش أكثر,ammani (urban),neutral,high
"حاسس الناس اللي زعلانين من الفيديو همة جزء من الناس اللي عم بيحكي عنهم, زي ما كنه دعسلهم على طرف ",ammani (urban),neutral,medium
مبروك للأردن واللهم لا شماته للمنتخب اللي في بالي,ammani (urban),neutral,medium
هاد مش مراد المسلسل التركي اسمو قيامة ارطغرل ختمت مليون مرة هه,ammani (urban),neutral,high
انت استخدمت سته دنانير مش خمسه,ammani (urban),neutral,medium
انت وين ب عين الباشا,ammani (urban),neutral,medium
احلى اشي اتامل طبيعه بلادي,ammani (urban),positive,medium
هاذا مو مراد علم دار هاذا ارطغرل,ammani (urban),neutral,medium
احلى اشي كانت حلوه ولزيزه,ammani (urban),positive,high
فيلم عن كل شيء شو دخل المانجا بالفلافل ؟؟,ammani (urban),neutral,medium
نشامى ماقصرتو جميع اللاعبين فخورين فيكو يزن يايزن وينك بنستناك على احر من الجمر الله يقومك بالسلامة يارب منور شد الهمه والخير في الجايات بإذن الله تعالى,ammani (urban),positive,low
أداء مشرف من النشاااامى كل الحب والدعم وربنا معاكو والشعب الأردني كله معكو من أصغرهم ل أكبرهم وفخورين فيكو ورافعين الرأس دائماً,ammani (urban),positive,low
يسعد دينكو يا النشامه كيف دافعو عن اللاعب,ammani (urban),positive,low
بدعتو يا اردنيه وبل اخصه موسى لما اتهاوشتو شفتو كيف ركض,ammani (urban),positive,low
الاردن مافي زيها وعلي ويزن رح يصيرو بالمبارة,ammani (urban),positive,medium
نشاااامى غصب عن الحاقدين والمقهورين ويارب نضل شوكه بحلوقهم,ammani (urban),positive,medium
حلقة ممتازة بمعنى الكلمة.. جهدك مشكوووور,ammani (urban),positive,medium
هداك الزلمة مو صاحي بالمرة هههه,ammani (urban),neutral,high
نحنا كنا هناك السياره الي لونها سكني,ammani (urban),neutral,high
كل شارع في مطاعم كتير اسمو شارع الجوعانين,ammani (urban),neutral,high
اه والله كلو ازمه عشان عيد الاستقلال انا من الاردن,ammani (urban),neutral,medium
السلام عليكم اختي ام احمد بدي سماق وملوخيه كم السعر,ammani (urban),neutral,medium
الله يعطيكي العافيه اشي مرتب,ammani (urban),positive,high
بارك الله فيك عالكلام اول الفيديو والفطور تبارك الرحمن,ammani (urban),positive,medium
ياي الله ينصر الاردن يزم مافي احلا من هيك,ammani (urban),positive,medium
يا تافهين معنى كلمة الرينبو : هي المثلية الجنسية وشارع مقرف و وسخ كتييير قال بلد مسلم قال و مسمين شارع بهل الإسم المقرف هاد,ammani (urban),negative,high
شو وضع طلاب التوجيهي ب يوم الاستقلال,ammani (urban),neutral,medium
ولك ولك انت وين كاين ؟؟,ammani (urban),neutral,medium
كتير طيب اكلتو في الاردن,ammani (urban),positive,high
أنا أردنية سامحيلنها اتسميه الي بدها اياه,ammani (urban),neutral,high
هه الشب الي بيعزف مبدع مشاء الله احلى لايك,ammani (urban),positive,high
موجود بعمان؟ وين الموقع بالظبط,ammani (urban),neutral,medium
جرب مطعم بيت شورما والله لذيذ,ammani (urban),positive,medium
جرب مطعم العمده الكثير رهيب والله,ammani (urban),positive,medium
جرب مطعم نبيع الشام كتير زاكي,ammani (urban),positive,high
في المفرق بل اردن يزن الشامي يجنن او ستي شيز يموت والله,ammani (urban),positive,low
طيب طروب سندويشه اطول من هاي وبديناااار,ammani (urban),neutral,medium
نصيحا جربو محل شورما عرب في ابو نصير كثير زاكيا وا سعرها قليل,ammani (urban),positive,medium
مطعم ديك داك فب الاردن وادي موسى زاكيي,ammani (urban),positive,medium
غالي عندو هال سندويشه 1 دينار و الصحن العربي بدينارين,ammani (urban),negative,medium
اذا اللفه بدينارين لعادل وجبه السوبر قديه,ammani (urban),neutral,medium
جرب هوت جريل بجنن و اسعاره بتجنن,ammani (urban),positive,medium
انا اقسم بالله في عنا مطعم شاورما عند السوق بس وجبه الشاورما السوبر بدينار وجبه الشاورما العادي دينار ربع,ammani (urban),neutral,medium
جرب مطعم بفي بن كتير زاكي,ammani (urban),positive,high
يلا بسم الله نبدا الخطف,ammani (urban),neutral,medium
جرب مطعم الهنيني في طبربور عند ابو عليا طبربور جربه بجنن والله,ammani (urban),positive,medium
من شان الله انتم قاعدين تجاوبو والله انه نحن جوعانين,ammani (urban),neutral,medium
سبع دنانير مو خمسه احسبوهن,ammani (urban),neutral,medium
ياخي يع ليش بتاكل بايدك قرفتني,ammani (urban),negative,high
إذا هيك وهي عروس بتجاكر بأهلو ..معناها هو مافيه خير اللي قبل هالشي,ammani (urban),negative,high
وين المنسف محطوط بقدونس و على دجاج و بعدين ايش صوص,ammani (urban),neutral,medium
اخص ليش عم تشربي بيبسي كولا مقاطعة ترا ,ammani (urban),negative,high
صوص بعينك اسمو شراب او جميد,ammani (urban),negative,medium
اعملي القطايف اذا سمحتي واحلا لايك,ammani (urban),positive,medium
صحه وعافيه اه والله انا هيك ما باكل حبه بسكوت وحده باكل اربعه مع بعض طعم بكون ازكى,ammani (urban),positive,medium
يسلم هل الايدين السنابون بيشهي الله القادر,ammani (urban),positive,high
هاض مو صوص هاض جميد,ammani (urban),neutral,medium
انا اردنيه والله العضيم و افتخر,ammani (urban),positive,medium
والله انو بضحك يزن وعلي هههه بحبهم مش بأيدي,ammani (urban),positive,medium
لاانو صوتك كتير كان كتير عالي مو هيك,ammani (urban),negative,high
مع انو في شوية صح بتعليقك ولك يا زلمي مين قلك انو دمك خفيف عنجد نكدتلي مزاجي ولك ارحم البشر,ammani (urban),negative,high
هاد اول فيديو يحضره الك طلعلتلي القناه بالصدفه وكثير حلو وممتع وصوتك قريب من القلب.. اسم الله بنوتك رايقه وأمورة الله يحفظها الك.. مشتركه جديدة ام تيم نصيرات,ammani (urban),positive,high
"والله العظيم كنت مدايقه وعملت طوشه مع اختي الهبله ,, اجيت هون فتحتلي منافسي الله يباركلك ولك انتا نعمه نزلت عالعرب ..",ammani (urban),positive,medium
ههاي يا صماتي احلى لقطة,ammani (urban),positive,medium
يزم ايش في التعليقات اول مره تشوفوا بنت بتتصور,ammani (urban),negative,medium
كيف عرفت انه احنا في الاردن,ammani (urban),neutral,medium
اسمه جمييد جمييد والله مو صعب,ammani (urban),negative,medium
عنجد يسعد ربك شو انك نهفه بس في شي المسيقه الي بتيجي مو جلوه مخربه الحلقه ,ammani (urban),positive,medium
انت مش عم بتزبطها انت عم تتشنج هه,ammani (urban),neutral,high
انا بروح عشان اشوف بنات ...,ammani (urban),neutral,medium
حرام عليك ولة ولة لله يشوفك,ammani (urban),negative,medium
والله انت واطي صوتك على الاخير,ammani (urban),neutral,medium
احلى اشي الشاص وهي حاطه علم الاردن مين معي يحط لايك,ammani (urban),positive,medium
انا اخدت من الملوخيه ...والله العظيم انو يا لملوخيه فخمه ونظيفه ومرتبه وبتظل خضرا ..وبتشهي اقسم بالله,ammani (urban),positive,medium
بالعافيه ويسلمو اديكي حبيبتي فيديو رائع ومفيد,ammani (urban),positive,medium
انا زيك الشاي بالميريمه المجففه الي بتكون ورقتها صغيره بتجنننن,ammani (urban),positive,medium
نيجيريا ازا ما فازو بعملة مشكله عمد,ammani (urban),neutral,high
أنا من الأردن والله أنه منتخب عمان محترم و يرفع له قبعه ,ammani (urban),positive,medium
ما شاء الله.. يعطيكي العافية منين هاد الدوالي. لأنه خلص من السوق,ammani (urban),positive,high
مين زي اللي يشوف فيديوهات اكل وقت يكون جائع,ammani (urban),neutral,medium
والله اني بحبك يا يحيى حدى بعرف وين ساكن يحيى,ammani (urban),positive,medium
كان رح ياكل ايدة من كتر ماهي صغيرة,ammani (urban),neutral,high
ياي كثير حلو مش فاهم شو المميز في الفيديو يعني,ammani (urban),neutral,high
يا اخوي يحيى عاساس تعرف الدحبه من وين,ammani (urban),neutral,low
كل محتواك عالبنات شو القصة,ammani (urban),neutral,medium
احكي عن كيف المنصات التعليمية صارت تجيب اليويوبر يدرسوا مناهج,ammani (urban),neutral,medium
والله شلعت نفسي من المطاعم,ammani (urban),neutral,medium
ولك يسسسسعد الله الي خلقك كل حلقاتك بجننو بتموتني ضحك,ammani (urban),positive,high
محمود دروزة اقسم بالله من الاخر حسيت حالي بدي استفرغ هه,ammani (urban),positive,high
حبيتها هاي الحلقة عنجد حلوة,ammani (urban),positive,medium
يا ريت كمان فيديوهات للرابية وخلدا وشارع الرينبو والشارع الثاني الي في العبدلي نسيت شو اسمه,ammani (urban),neutral,medium
والله يا رجاااائي انتا زووء كتيير,ammani (urban),positive,high
"يعني على فكرة اللي بحكي فرق كبير بين رجائي وابو الغور , أبو الغور ما أخذ حقه بهالفيديو وهو ضيف شرف .. بس اللي بحضر فوق السادة وبشوف أبو الغور , بكتشف إنه أفضل من هيك بألف مرة .. أبو الغور مبدع .. ",ammani (urban),neutral,medium
بتجنن استمر رجائي انت لووز,ammani (urban),positive,high
ابو الغور والله عالشوارب,ammani (urban),positive,medium
حتى المغنية و الموسيقى بالأخير عجبتني,ammani (urban),positive,medium
انا معك بهاد الشي لأني قرفت من كتر ما شفت ناس هيك,ammani (urban),neutral,high
انت عبقري راائع بس كتير اشتئنالك,ammani (urban),positive,high
يعني يكون عندك بكرا امتحان و مو دارس اشي شعور أخو شلن,ammani (urban),neutral,medium
هلكونا الباصات لمتى هالوضع هاد مزع يمزعهم,ammani (urban),negative,high
هه عن جد هيك البنات,ammani (urban),neutral,medium
يعمي الي ماراح على مدارس مخطلتة ما راح احلى شي كلنا أخوى عادي بصير في علاقات ارتباط وكذا وحركات بس مو تحرش وعكل حال المدارس الذكورية بشعة وكلها مشاكل وضرب بتحس حالك بسجن,ammani (urban),neutral,high
والله خطير  أنت ,ammani (urban),positive,medium
"أغلب البنات الي بعملوا الغلط بس بعاندوا بحكم انه كل ممنوع مرغوب لكن هذا الاشي سببه أعمق من هيك و الي هو الاهمال العاطفي و ضعف الوازع الديني أو انه الأهل ذات نفسهم بكونوا قدوة سيئة لبناتهم، و الحمدلله الذي عافانا مما ابتلاهم و الله يهدي الجميع",ammani (urban),neutral,high
اليوم مروق بدي أروح أسلخ وجبيتين شاورما ,ammani (urban),positive,medium
يازلمه والله انك طقع استمر ولا ترد عكل الي بينتقدو بستنى جديدك يا كبييير على راسي والله هه من الاخر,ammani (urban),positive,medium
يخوان من الآخر اللي ما بسمع كندريك يراجع رجولتو,ammani (urban),neutral,medium
يا عمي ليش هيك أنت واحد بارد وجه,ammani (urban),,medium
ازا الجو شوب انسى تشوفني هالأسبوع حبي,ammani (urban),neutral,high
ياخي الناس زودتها مو لهدرجة الاشي صعب,ammani (urban),neutral,medium
يا زلمة رجلي بتوجع من التلاتا اللي فات شو في,ammani (urban),neutral,high
انا ببلع حروف بس انا هيك بحكي,ammani (urban),neutral,medium
المشكلة ان من فترة صارت حدود الدين بتنمسح من عقول الشباب يعني صار لازم تبرر كل شي بعيدا عن الدين عشان تتناقش معهم مع ان الدين المفروض هو اساس حياتهم بس هما بينكرو اي شي مش عاجبهم في الدين فربنا يهدينا كلنا,ammani (urban),neutral,high
والله بطل انسى ما الك مصلحة والله ما الك مصلحة,ammani (urban),neutral,medium
والله انك ناار ولك على راسي يمان بس اوعك تقلب علينا بحلقة من الحلقات,ammani (urban),positive,high
اخر فصل بالجامعة مو طبيعي بتحس حالك مش موجود بالدنيا,ammani (urban),neutral,medium
اخخخخ الخمس ليرات بطلت تجيب همها,ammani (urban),negative,medium
يا الله شو بحب هادا الشخص,ammani (urban),positive,high
أحلى شي لما تسمع جدل اخ شو صح,ammani (urban),positive,high
الدوام كتيييير ملل شو هاد يع,ammani (urban),negative,high
والله الزواج بخوف ماضي البنت المجهول قلة فهم البنات مثلا تحكيلي مالك كلمه علي هاي لو سمعتها من مرتي رح انكل فيها من الصدمه بعدين اطلقها احا اذا انا مالي كلمه عليكي مين اله انا متجوز مسلمه يا شكيرا من وين طلعتيلي ابوكي لابو الي جابك,ammani (urban),negative,medium
هه والله بالضبط .. جبتها ع الجررح .. بالذات تبعت الججججل,ammani (urban),positive,medium
هيييه هاد رجائي لساتك اقرع هه,ammani (urban),neutral,high
ياخي حسيت حالي اشي كبير بعد ما حكيت انو الزواج ثاني اصعب شي بعد شغل المخابز,ammani (urban),neutral,medium
المشكلة ان نص البشرية بتزوج وهي مش عارفة ليش,ammani (urban),neutral,medium
ألبوم امنيم الجديد اشي من الآخر ,ammani (urban),positive,high
يقلبي لو الشغلة بالحفظ ما كنا اجينا عالمحاضرة,ammani (urban),neutral,medium
أحلى إشي قصة الأراضي اللي كل الاباء بيحكوها لأولادهم هه,ammani (urban),neutral,medium
اقسم بالله يا جماعه انو الحكا هذا صحيح وصار معاي,ammani (urban),neutral,medium
اليوم بحفلة جدل ازا بلاقي نفس العدد حنجن لأنو خلللص هاي تاني وحدة و برضو أزمة,ammani (urban),neutral,high
نزل الجدول و احنا لسا بأول شابتر فعلا عجقة أخخخخخخخخ,ammani (urban),negative,medium
هه متل بابا كتير بشبهو,ammani (urban),neutral,high
توسحت اللبسة لسى هديك اليوم جبتها ,ammani (urban),negative,high
مستحيل كل يوم بكير بدهم يبلشوا شغل اليوم صدعوني و بعديييين معهم ,ammani (urban),negative,medium
الفيديو كتير متخلف صراحة ترى مو كل المعلمات هيك ومو كل المعلمين هيك...وانت شب يعني شدخلك بحياتهم...اكيد مارح تعرف حياتهم..وجد جد كتير في اشيا حكيتها غلط ومو صحيحة ونصهم انت تقول ماعرف..يعني شي مالكم فيه لاتعملو عنها فيديوهات... كتييرر في اغلاط بالفيديو وتضييع وقت...,ammani (urban),negative,high
ا الله يسعد مساك بانوار النبي يا ام احمد كيفك شو اخبارك يسلم ايديك وعينيك على كل شيء حلو بتقدمي لنا اياه قل اعوذ برب الفلق على الارانب انا بعشق شيء اسمه ارانب ما شاء الله لا قوه الا بالله,ammani (urban),positive,medium
 انا بنت وبأكدلك انو هدول المواضيع بصيروا على ارض الواقع عنجد مش بس بمدرسة الروابي,ammani (urban),neutral,high
مش عارفه كيف لسا ما وصلت للمليون يزم محتواك بجنن مفيد وحلو وكلشي,ammani (urban),positive,medium
الواحد مو ناقصو غير خمسة كيلو لحمة و يعطيها منسف  لحد الصبح ثاني يوم,ammani (urban),neutral,medium
اللي بغني بالاخر .. والله نصيحة تروح ارب ايدول ما شاء الله صوتك كتير حلو لايك اذا هيك رايك ...,ammani (urban),positive,high
عنجد في ناس كثير هيك ابو العريف صح بحسسك انو بفهم كل إشي موسوعة,ammani (urban),neutral,medium
شعور انك تخلص اخر امتحان ما بنوصف ,ammani (urban),positive,medium
ان كان الكلام من فضة فسكوت من ذهب انتو بتحبوا انكم تعلقوا بس بدكم تعلقو هو حر برأيو والحلقة بتجنن وانا كتير أعجبت بالحلقة,ammani (urban),positive,high
واحد من عوامل هاد الاشي هي النكت الجنسية والمصطلحات السافلة في المجتمع والمدرسة,ammani (urban),neutral,high
ماما بتقول ازا قدرت بكرا أطبخ الي عشر دنانير  يتم تعليم,ammani (urban),positive,high
"والله صح ،،، اسخم اشي حد كبير بالعمر مكتئب يجي يطلع احقاده و فشله عليك عندي عمام و حتى خوال مثل هيك",ammani (urban),negative,high
 مش معقول انو يضيع اليوم على المادة يعني,ammani (urban),neutral,medium
مش معقول كيف بتقدر توصف الناس بالشكل الدقيق هاد,ammani (urban),negative,high
 لا والله هاض حقيقي مش بمدرسة روابي ائي وبصير ‏بالمدارس الخاصة والمدارس الحكومية وأنا بنت اردنية فلسطينية درست ببلاد الغرب في أمريكا بس درست هون برضو بمدارس أردنية لما كنت بالابتدائي للصف تاسع ..كنت اتعرض لها هيك زفت تنمر وضرب واذى وكلام جارح,ammani (urban),negative,high
اذا كل هاد فالمدارس المختلطة صارت ارحم بكثير,ammani (urban),neutral,high
والله أجواء الجامعة اليوم من الآخر ,ammani (urban),positive,medium
والله المقطع رائع وأنا ما بحب إلا رجائي وما بشوف إلا حلقاتو لأنها أحلا شي وهاد رأي,ammani (urban),positive,high
اخخ لو الواحد بلاقي مكان يقعد يصرخ فيه لحد ما يرتاح بدون ما يفقع قدام أهلو ,ammani (urban),negative,medium
هداك النادي اللي بحي نزال مسموعيتو مش ولا بد,ammani (urban),negative,high
صراحة الموضوع مش بس مقتصر بالجامعه او الشغل بالمدرسه كمان وبالشارع بالمحلات بالمطاعم وحتى ابسط الاماكن مثل المتنزهات وكل مكان الوضع بكون مش مريح ولا رح يكون مريح باي شكل لهيك الشخص صار يتجنب هالاماكن حتى لو بحبها,ammani (urban),neutral,high
لو الواحد عرف طبع الناس من أولها ما كان أقعد يضيع مجهود و طاقة بس عشان يرضي أنانيتهم و نظرتهم,ammani (urban),negative,high
على سيرة الريد بيل انا بعرف انو قصدك هذاك الاصلع مرا من المرات صار يهدد كل واحد بيعطي تعليق قال اذا ما ما بتعطيني فلوس ما برد على تعليقك كمية وقاحة و شوفة حال مو طبيعي,ammani (urban),negative,high
رجائي بصراحه انوا شي رهيب.. الشي هاد كتير رائع وعلى فكره ولو انوا ما منعلق على المقاطع ولكن من اول يوم اليوتيوب اخترع رجائي ونحنا منتابعك.. كتير شغلات رائعه... على فكرة وبالنسبه للي شافوووك بالشارع اتمنى انوا اكون بالشارع منشان اندكم فيك,ammani (urban),positive,high
شوفوا يخوان اذا المرة بتعرف اتربي صلح المجتمع واذا الزلمة صار يتحمل المسؤلية صلح المجتمع,ammani (urban),neutral,medium
إنت فهمان وحكيت الصح أسلوبك مريح ومقنع هيك اليوتيوب بده ناس مثلك استمر بهاد المحتوى,ammani (urban),positive,high
اول اشي الله يرحم جميع موتى المسلمين ثاني اشي نفسي في الاردن انو ندعم الابداع مش نتفلسف على المبدعين احلى تحيه الى راجي قواس و زملائه المبدعين و شكرا جزيلا على امتعنا وادخال السرور على قلوبنا,ammani (urban),positive,high
عم يضيع كل اليوم بباص عمان مو طبيعي الوضع,ammani (urban),negative,high
"الموضوع صار مخيف كتير , , خايفة أتعامل مع هاد النوع",ammani (urban),negative,high
شو ما منت عم تحكي بأي موضوع ازا أنت ما بتنتبه عألفاظك فأنت واحد وقح مو شايف ذرة تربية,ammani (urban),negative,high
مش كنت عم أحكيلو مبارح انو الشغلة مو مستاهلة,ammani (urban),neutral,high
يا زلمة سبعك ما أسقع وجهك ,ammani (urban),negative,low
ولك القصة كانت اشي ثاني مو زي ما أنا توقعت ,ammani (urban),neutral,medium
كل يوم بشبه اللي قبلو بشكل مخيييف,ammani (urban),negative,medium
اخخخ بس لو اني ما نزلت المادة هداك الفصل,ammani (urban),negative,high
شفت هاض الأسبوع انو فيه تقريبا سبع مواعيد للفحص ,ammani (urban),neutral,medium
اذا للي كان موجود الأسبوع الماضي انزاد خمس علامات تخيل اخخخخ ياريتني حضرت ,ammani (urban),negative,medium
يخوان اللي سرق الطقية يرجعها بلا ولدنة,ammani (urban),neutral,medium
ازا موجود الدكتور حد يخبرنا,ammani (urban),neutral,high
الجو شوب اليوم شو هاد انخنقنا ,ammani (urban),negative,high
أنا ضايلي شعرة و أطق مو طبيعي الوضع,ammani (urban),negative,medium
محمد بس فالح يهبد عالخلق فعلا انو واحد بارد وجه,ammani (urban),negative,medium
"والله اليوم كان رهيب، طلعت مع الشباب وقعدنا نحكي ونضحك لساعات بدون ما نحس بالوقت وانبسطت كثير.",ammani (urban),positive,medium
ياخي متى بدي أتعلم كيف ما أعطي الناس أكبر من حجمها,ammani (urban),negative,medium
هاد الموضوع كتير مفيد صراحة بالنسبة الي أهم موضوع بالمادة,ammani (urban),positive,high
والله يا زلمتي الموضوع ملكاش فيه من الآخر ,ammani (urban),neutral,high
بدنا فيديو عن جامعات الاردن ولدكاتره,ammani (urban),neutral,high
"والله اليوم كان سيء من أوله، كلشي خربان معي من الشغل للمواصلات اللي بتخزي",ammani (urban),negative,high
كل الحق على هدول الهبايل النباتيين وما تسألنيش ليش,ammani (urban),neutral,high
اسمع أبو الشباب هاي اللي بتحكي عنها حصتي اوزن كلامك أحسنلك,ammani (urban),negative,high
شكرااا بحجم الأرض  أخير ا حدا حكى عن مشاكل البنات,ammani (urban),positive,high
كمل يا كبيييير والله قدها ابو دروزه,ammani (urban),positive,medium
ابوي كان ازعر الحارة وابو المشاكل وهسا اذا خواني مزحو مع صحابهم بعطيهم محاضره الله يحفضوو,ammani (urban),neutral,high
ماشالله عليكي كتير مبدعه وعندك قدرة عااليه بتغير الصوت وخفيفه دم ...موفقه ويعطيكي العافيه,ammani (urban),positive,high
انطبخنا من الحر اليوم شو هالجو,ammani (urban),negative,medium
لو الواحد ياخد تنتين ممكن تسلك أمورو ,ammani (urban),negative,high
أحلى شي فيك لسانك الزفر ما بمزح,ammani (urban),positive,high
