الجملة,المعنى,Confidence,التصنيف
والله لتقلطوا ما بتطلعوا من غير ذواقة,"أقسم أن تتفضلوا، لن تخرجوا دون تذوق الطعام",High,positive
يا وِلد روح اسرح بالهوايش,يا ولد اذهب لترعى المواشي,High,neutral
الزلم مخابر مش مناظر,الرجال يُعرفون بأفعالهم لا بأشكالهم,High,positive
ناولني هالخاشوقة,أعطني هذه الملعقة,High,neutral
لا تظل تمطمط بالحكي أعطيني الصافي,"لا تطل في الكلام، أعطني الخلاصة",Medium,Negative
شو مالك بوزك شبرين؟,ما بك عابسًا بشدة؟,Medium,Negative
هاتولنا هالمحماسة خلونا نحمس قهوة,أحضروا المحماسة لنحمص القهوة,High,neutral
"والله إن فلان غانم، وعلومه بتبيّض الوجه","أقسم أن فلاناً شهم، وأخباره ترفع الرأس",High,positive
تفتي الخبز منيح قبل ما تصبي المليحي,قطّعي الخبز جيداً قبل سكب المليحي عليه,High,neutral
مالك بتتحرك مثل الدوريه,لماذا تتحرك ذهاباً وإياباً كالدورية؟,Medium,Negative
أهذري لحالي إنت معي ولا مع الهوايش,"أتحدث وحدي، هل أنت منتبه لي أم شارد؟",High,Negative
شو هالقَطِيعة! صارلك شهر ما طليت,ما هذه القطيعة! لم تزرنا منذ شهر,Medium,Negative
يا مية هلا بجيتشكم علينا,يا مئة أهلاً بقدومكم إلينا,High,positive
"مأكول الهنا، وصحتين وعافية","هنيئاً مريئاً، وصحة وعافية",Medium,positive
روح اقضب هالسخلة لا تهجّ غاد,امسك هذه العنزة الصغيرة كي لا تهرب بعيداً,High,neutral
أقولّتش,أقول لكِ,High,neutral
نذلف من هون قبل ما تدبّق الأرض,نذهب من هنا قبل أن تمطر وتصبح الأرض موحلة,High,Negative
لتقلطي وتذوقي اللزاقيات هسّع سوتهم,"تفضلي لتتذوقي حلوى اللزاقيات، صنعتها أمي للتو",High,positive
انطمّ,اصمت رغماً عنك,High,Negative
صرلي ساعة أقوّي عليك,أناديك بصوت عالٍ منذ ساعة,High,neutral
دوك خضار الارض,انظر إلى خضرة الأرض,High,neutral
بحز غاد,ابتعد إلى هناك,High,neutral
زيح لهناك,ابتعد إلى هناك قليلاً,Medium,neutral
طل علي جاي,انظر إليّ هنا,High,neutral
يا الله ما اخم الشي الفلاني,يا إلهي ما أسوأ رائحة هذا الشيء,High,Negative
خلك دغري,ابقَ مستقيماً/صريحاً,Medium,positive
بديش ارد,لا أريد أن أرد,Medium,Negative
لوين رايح بهيش وقت,إلى أين أنت ذاهب في هذا الوقت؟,High,neutral
دير بالك على حالك,اعتنِ بنفسك,Low,positive
اشومالك معصب,ما بك غاضباً؟,Medium,neutral
مضينها طق حنك,قضينا الوقت بالثرثرة,Medium,neutral
اقعد يا رجل تعلل,اجلس يا رجل لنسهر ونتحدث,High,positive
اقعد بلاش زعبرة,اجلس وكفاك فوضى/صراخ,High,Negative
يا دوب الواحد ملحق,بالكاد يستطيع الشخص إنجاز مهامه,Medium,Negative
هاي الحبة مجخمنه,هذه الثمرة فاسدة أو مضروبة,High,Negative
جيب الكواشه نلملم الارض,أحضر المكنسة الخشنة لننظف الأرض,High,neutral
والله الاكل زاشي,أقسم أن الطعام لذيذ,High,positive
ميل علينا جاي,تفضل بزيارتنا هنا,High,positive
ولويش مستروح,ولماذا أنت مستعجل للذهاب؟,High,neutral
الوضع مثل ما بقلك دندرة,الوضع كما أقول لك فوضى عارمة,High,Negative
يا زلمه افنجها,يا رجل اضربها/اركلها بقوة,High,neutral
انبرع الولد,سقط الولد بقوة أو تأذى,High,Negative
لايقه ومليحه,مناسبة وجميلة,Medium,positive
ذايح,تائه أو يتسكع بكثرة,High,Negative
عزا لويش هيش,"يا للمصيبة، لماذا هكذا؟",High,Negative
اسكت عزرت علينا,اصمت لقد فضحتنا,High,Negative
الدنيا بتزعق,الجو شديد الحرارة/البرودة أو الرياح قوية,Low,Negative
الدنيا مخضرنه معشبه,الأرض خضراء ومليئة بالعشب,High,positive
ركض عليه مثل الطلق,ركض نحوه بسرعة كالرصاصة,Medium,neutral
ما قعد حربوك,"لم يجلس، ذكي ومراوغ",High,positive
طل بالله عليه,انظر إليه بالله عليك,High,neutral
هالقاروط شو عامل,ماذا فعل هذا الشقي؟,High,Negative
يا غبصا لويش عامل هيك,يا غبي لماذا تفعل هذا؟,High,Negative
وهر,ضخم ومخيف,High,Negative
وهرفو الزلمة,أخافوا الرجل,High,Negative
شوي شوي لا تغص,بتمهل حتى لا تغص بالطعام,Medium,positive
اني ترا كويس,أنا بخير للتنبيه,High,positive
اشتريت بوط وشحاطه,اشتريت حذاءً رياضياً ونعلاً,Medium,neutral
الصوبة بتكاتر مكاترة,المدفأة تشتعل بقوة,High,positive
اشرب من الجيعه,اشرب من بركة الماء المتبقية,High,neutral
تلعبوا طميمه,هل تلعبون الغميضة؟,High,neutral
بلَح اللاعب,تعب اللاعب بشدة/انقطع نفسه,High,Negative
بوكيت,جيب البنطال أو كيس,Medium,neutral
لا تلعب بالجلاطه,لا تلعب بالوحل/الطين,High,neutral
ملعون حرسي,سيء الحظ أو مرهق جداً,High,Negative
سرسري,لص أو شخص سيء السمعة,High,Negative
بنطلون حزق,سروال ضيق جداً,Medium,Negative
اشتريت بسطار مليح,اشتريت حذاءً عسكرياً جيداً,Medium,neutral
هالولد قزعه,هذا الولد قصير القامة جداً,High,neutral
بلاش جقم,كفاك اعوجاجاً أو حماقة,High,Negative
بلاش بواهه,كفاك غباءً أو بلاهة,High,Negative
واحد مفشخ,شخص مصاب بجرح في رأسه,Medium,Negative
فشخ راسي,ضربني على رأسي فجرحني,Medium,Negative
اقصر الصوت,اخفض الصوت,Low,neutral
شو هي الدنيا سايبة,هل الدنيا فوضى بلا حسيب؟,Medium,Negative
شو مالك مكشر,لماذا أنت عابس؟,Medium,Negative
فكك من الهبل,دعك من الحماقة,Medium,Negative
الايد قصيرة والعين بصيرة,قلة الحيلة مع إدراك الأمور,Medium,Negative
شلونك,كيف حالك,Medium,positive
هـاتلـك كـمـشة حطب ناشف,أحضر القليل من الحطب الجاف,High,neutral
لويش مطنشنا,لماذا تتجاهلنا؟,High,Negative
على شو قاعد بتتفرج,إلامَ تنظر؟,Medium,neutral
ليكون مش عاجبك,هل يعقل أن هذا لا يعجبك؟,Medium,Negative
وين طاشش من الصبح,أين تتسكع منذ الصباح؟,Medium,Negative
شو هالقَعدة العوجة,ما هذه الجلسة الخاطئة؟,Medium,Negative
الطريق اعوج,الطريق غير مستقيم,Low,Negative
شو اللعي الفاضي,ما هذا الكلام الفارغ/الثرثرة؟,High,Negative
لا تظلكيش تلعلع,لا تستمري بالصراخ/الثرثرة,High,Negative
وين هالغيبة,أين كنت طوال هذه الفترة؟,Medium,neutral
عشو ناوي,ماذا تنوي أن تفعل؟,Medium,neutral
فُك عنّي,ابتعد عني,Medium,neutral
خليك قد كلمتك,كُن على قدر وعودك,Low,neutral
لويش ساكت,لماذا أنت صامت؟,High,neutral
فكك من هالحتشي,دعك من هذا الكلام,High,Negative
هيصة,فوضى أو احتفال صاخب,Medium,neutral
اقعدوا دوشتونا,اجلسوا لقد أزعجتمونا بصخبكم,Medium,Negative
قوم ساوي شاي,انهض واصنع الشاي,Medium,neutral
لا تلطعك النار,احذر أن تحرقك أو تلفحك النار,High,positive
يا زلمة لا تعقدها خلص,يا رجل لا تصعّب الأمور,Medium,positive
الغسيل مكوم,الملابس المتسخة متراكمة,Low,Negative
لُم حالك وروح,اجمع أغراضك واذهب,Medium,Negative
دير بالك لا تزحلق عالوطاة,احذر أن تنزلق على الأرض,High,positive
قوم حرّك حالك لا تضل متسمّر,"انهض وتحرك، لا تبقَ ثابتاً",Medium,Negative
لفّيت الدنيا وما لقيت زيهم,بحثت في كل مكان ولم أجد مثلهم,High,Negative
اسقي الزريعة,اسقِ النباتات,Medium,neutral
انزل عالحوش,انزل إلى فناء المنزل,High,neutral
خلص عاد لا تمُطها,"يكفي، لا تطل في الموضوع",Medium,Negative
لا تظل تتأفف اشتغل,"لا تتذمر، بل اعمل",Low,Negative
جيب خبز وانتَ مروح,أحضر الخبز في طريق عودتك,Low,neutral
شدّها مليح لا تفلت,اربطها جيداً كي لا تنفلت,Medium,neutral
يا بَييه قد ما رغيت,"يا إلهي، كم ثرثرت!",High,Negative
لا تظلكيش تحوس,لا تستمري بالدوران أو الحركة بقلق,High,Negative
شو مالك لا حس ولا خبر,ما بك؟ لا يوجد لك أثر أو أخبار,Medium,neutral
لويش لاوي بوزك,لماذا أنت عابس وممتعض؟,High,Negative
ول مش قادرين نحكي معك,لا نستطيع التحدث معك (من كبريائك),Medium,Negative
عليك هيبة,لديك وقار وهيبة,Low,positive
والله طالع طقع اليوم,تبدو بأبهى حلة اليوم,Medium,positive
الجو طقع اليوم,الطقس رائع جداً اليوم,Medium,positive
تظلكاش تراجع فيني,لا تستمر بمجادلتي,High,Negative
غصبن عنك,رغماً عنك,Low,Negative
بتشرح القَلب,تبهج القلب/تسر الخاطر,Medium,positive
هالهويات بشرحن القلب,هذا النسيم يبهج القلب,High,positive
فقدناك مبارح بالطلعة,افتقدناك بالأمس في النزهة,Low,positive
والله غير تميّل,أقسم أنك يجب أن تزورنا,High,positive
لا تطيح,لا تسقط أو تنزل,High,neutral
الطيحة حادّة,المنحدر شديد,High,Negative
نادي ع خوالك جاي,نادِ أخوالك إلى هنا,High,neutral
امسكها مليح لا تُمزط من ايدك,أمسكها جيداً كي لا تنزلق من يدك,High,neutral
تَعي نقعد تحت الشمسات,تعالي لنجلس تحت أشعة الشمس,Medium,neutral
والله انك زلمة كَفو,أقسم أنك رجل يُعتمد عليه,Medium,positive
والله انه ازعر,أقسم أنه شخص مشاغب/سيء السلوك,Medium,Negative
لا تسُم بَدَني,لا تعكر مزاجي,Medium,Negative
مالك بتزعبر,لماذا تثير الفوضى والصراخ؟,High,Negative
طاحت تحت,سقطت للأسفل,High,neutral
تظلكيش تبربر,لا تستمري بالثرثرة المزعجة,Medium,Negative
خليك بعيد ابرك,"ابقَ بعيداً، هذا أفضل وأبرك",High,Negative
سايق عليك الله ترد,أقسم عليك بالله أن تجيب,High,neutral
سقا الله اتخرّج,يا ليتني أتخرج قريباً,High,neutral
سقا الله ايام زمان,يا ليت أيام الماضي تعود,High,neutral
يرحم جدّك,رحم الله جدك (تُقال أحياناً للسخرية),Medium,Negative
قاعد بفحّط بالسيارة,يقوم بالاستعراض بالسيارة,Medium,neutral
اقعد بالدار اهون,الجلوس في المنزل أفضل/أسهل,Medium,positive
قبّعت معي,نفد صبري/غضبت بشدة,High,Negative
خلص ملّقت,"يكفي، لقد أصبحت الأمور سخيفة",Medium,Negative
خبّصت الدنيا,أفسدت الأمور تماماً,Medium,Negative
جَخّة والله,شيء رائع وممتاز جداً,High,positive
والله مفزلكين,أقسم أنهم يتفلسفون,Medium,Negative
لا تظلكيش تهبد,لا تستمري في التحدث بهراء أو كذب,Medium,Negative
عَلي قراية قد الدنيا,لدي دراسة كثيرة جداً,Medium,neutral
لا تعكّر مزاجي ترا مروّق,"لا تفسد مزاجي، أنا هادئ الآن",Medium,positive
تعال نروح نروّح,تعال لنعود إلى المنزل,High,positive
لويش مبعد هالقد,لماذا تبتعد إلى هذا الحد؟,High,neutral
اقعد جاي,اجلس هنا,High,neutral
طول بالك يا زلمة,اهدأ يا رجل,Medium,positive
تخليهاش توصل مواصيل,لا تدع الأمور تصل إلى حد سيء,Medium,Negative
ترا متهاوشين,نحن متشاجرون,Medium,Negative
هسع ظاقت عينك عَهالشغلة,الآن طمعت في هذا الشيء؟,High,Negative
بتعرفيهاش,ألا تعرفينها؟,Medium,neutral
شو هالشكيلات,ما هذه الأشكال (للسخرية),Medium,Negative
قاعد بخبّص تخبيص,يتحدث بهراء أو يفسد الأمور,Medium,Negative
شايف بس حلقت كيف وجهك فتّح,هل رأيت كيف أشرق وجهك بعد الحلاقة؟,Medium,positive
جاي عبالي لبنة مدحبرة,أشتهي تناول اللبنة المكورة,High,neutral
مدحبر دحبرة,مكور/دائري بشكل كامل,High,neutral
هالولد مربرب,هذا الولد ممتلئ الجسم ولطيف,Medium,positive
ما دامك جاي وجاي جيب معك,"بما أنك قادم، أحضر معك",Medium,neutral
ابصر شماله,لست أدري ما به,High,neutral
والله اللي بدري بدري,من يعلم يعلم,Medium,neutral
هسا بيجي,سيأتي الآن,Medium,neutral
هيني بالطريق,أنا في الطريق,Low,neutral
مسافة طريق ويكون عندكم,سأكون عندكم بعد وقت قصير,Medium,neutral
على راسي,أمرك مطاع,Low,positive
تبشر بالخير,طلبك مجاب,Medium,positive
معاك مجال بالسيارة,هل لديك متسع في السيارة؟,Low,neutral
لويش هيك بتسولف,لماذا تتحدث هكذا؟,High,Negative
بدنا نعيد عدار خالكم,سنذهب للمعايدة في بيت خالكم,Medium,neutral
بجوز نمُر عدار عمكم اليوم,ربما نمر ببيت عمكم اليوم,Medium,neutral
هاك هذول روح اشتري,خذ هذه (النقود) واذهب للشراء,High,neutral
امسك من إيدي ل توقعه,أمسكه من يده كي لا تسقطه,Medium,neutral
والله ظعفان مش ظايل عليه لحم,"لقد نَحُل كثيراً، لم يبقَ فيه لحم",High,Negative
هالحزين مضاها يرَكّض بين الناس,المسكين قضى وقته يركض باحثاً عن المساعدة,High,Negative
انهلك تعب,أُرهق جداً من التعب,Medium,Negative
بقولك ما بِرُد علي شو اساويله,"أقول لك إنه لا يرد، ماذا أفعل؟",Medium,Negative
خليه بحاله لا تصيبه,"اتركه وشأنه، لا تلمسه",Medium,neutral
ساويتلك مثل ما طلبت,فعلت لك كما طلبت,Medium,neutral
قومي ساويلنا شاي,انهضي واصنعي لنا الشاي,Medium,neutral
والله ما بدري وين الله حاطه,أقسم أنني لا أعلم أين هو (تائه),Medium,Negative
روح لقطلنا لوز,اذهب واقطف لنا بعض اللوز,Medium,neutral
ترا هو سرسري مش هيّن,للعلم هو محتال وليس سهلاً,High,Negative
لد شوف هذا الإجقم شو عامل,انظر ماذا فعل هذا المتعجرف/الأعوج,High,Negative
ترا مقبعة معي من الصبح,للعلم أنا غاضب جداً منذ الصباح,High,Negative
لا تشذب احكي الصحيح,"لا تكذب، قل الحقيقة",High,Negative
دريت عنه شو مساوي,هل علمت ماذا فعل؟,High,neutral
شلف الولد الحقوه,"هرب الولد، اركضوا خلفه",High,neutral
طلع الحلة من الخزانة,أخرج القدر من الخزانة,High,neutral
الاكل زعق,الطعام مالح أو حامض جداً,High,Negative
الحق الولد فل,الحق بالولد لقد هرب,Medium,neutral
راح يفلح بالارض,ذهب ليحرث ويزرع الأرض,Medium,neutral
راح يكفَر الزرع,سيقوم بتغطية الزرع بالتراب أو تقليبه,High,neutral
عاملين اقرى بعرسهم,صنعوا وليمة في زفافهم,High,positive
معلل لابنه اليوم,يقيم حفلة سهرة (تعليلة) لابنه اليوم,High,positive
عنده منوحه,لديه شاة أو بقرة حلوب,High,neutral
الحصان مربوط عند البيدر,الحصان مربوط عند مكان جمع الحصاد,High,neutral
طلع الطحين من الكواره,أخرج الطحين من مخزن الحبوب الطيني,High,neutral
حط الاكل في النملية,ضع الطعام في خزانة الطعام,High,neutral
افرش المدرج,افرش السجاد الطويل/الممر,High,neutral
ولع البنورة,أشعل المصباح الزيتي القديم,High,neutral
اعمل شوطحية,اصنع أرجوحة,High,neutral
"اقلط يا رجل، والله العشاء ما يغلى عليك","تفضل يا رجل، العشاء قليل بحقك",High,positive
"يا ولد، لا تظلك تِحْوِص بالدار",لا تستمر بالدوران في المنزل بقلق,High,Negative
عَطُول,فوراً / بشكل مباشر,Medium,neutral
شَوِش الدار,أحدث فوضى في المنزل,High,Negative
فَرْكَشت الخطبة,أُلغيت الخطوبة,Medium,Negative
خَشّ ع الساحة,دخل إلى الساحة,Medium,neutral
طُُلي علي,انظري إليّ,Medium,neutral
والله هالطبخة طالعة مْرَتَّبة,هذه الطبخة ممتازة ومتقنة,Medium,positive
طَلّ عالدار شوف مين إجى,انظر إلى الخارج لترى من أتى,Medium,neutral
هِسّه بِنْرُوح عالحرش نقعد شوي,سنذهب الآن إلى الغابة لنجلس قليلاً,Medium,positive
قعدنا بالحوش نقرقش بزر ونحكي,جلسنا في الفناء نأكل البذور ونتحدث,Medium,positive
دِق الباب وخَش,اطرق الباب وادخل,Medium,neutral
خَلّيها عالله,اترك الأمر لله,Low,positive
رِد الباب وراك,أغلق الباب خلفك,Medium,neutral
"خيّو تعا، القعدة ما بتحلى إلا فيك","يا أخي تعال، الجلسة لا تكتمل إلا بك",Medium,positive
شِدّها وزبّط,اربطها بقوة وأصلحها,Medium,neutral
خَلّص وفُضّ,انتهِ من الأمر وأرحنا,High,neutral
لا تِتذاكى,لا تدّعِ الذكاء,Low,Negative
لِِز ل غاد,ابتعد إلى هناك,High,Negative
سيبك منه هاظ ﺗِﻨﺢ,"دعه، إن هذا الشخص عنيد جداً",Medium,Negative
حفرتل,شخص سيء المظهر أو الطباع,High,Negative
مقلعط,قذر أو مقزز,High,Negative
مهوي هالولد,هذا الولد مجنون أو أهوج,Medium,Negative
بلُلق لَق,يتحدث بكثرة بلا فائدة,High,Negative
بتهبل قاعد,يتظاهر بالغباء,Medium,Negative
سكر الباب اكلنا الناموس,"أغلق الباب، لقد أزعجنا البعوض",Low,Negative
بيّاع حكي,شخص يكثر الكلام دون أفعال,Medium,Negative
اذا انت مش رايح انا بروحش,"إذا لم تذهب أنت، أنا لن أذهب",Medium,neutral
بالله قول لعمي انّي جاي,بالله عليك أخبر عمي أنني قادم,Low,neutral
على رف برقان الشاي,على الرف إبريق الشاي,High,neutral
والله الصغار بِهِدّوا الحيل,الأطفال يرهقون القوى,Medium,Negative
انته وبعدين معك,وما نهاية هذا الأمر معك؟,Medium,Negative
دار جيرانكم بعمروا بيت,جيرانكم يبنون منزلاً,Medium,neutral
هسع لِد علي جاي,الآن انظر إلي هنا,High,neutral
بدي أروح أحوش الزيتون,سأذهب لقطف الزيتون,High,neutral
اقضب الدرب,اذهب في طريقك وغادر,High,neutral
هات الغربال جاي,أحضر أداة تصفية الحبوب (الغربال),High,neutral
اندز لغاد,ابتعد إلى هناك,High,Negative
انقبر نام,اذهب للنوم (صيغة توبيخ),High,Negative
طُشّت المي ع الأرض,انسكب الماء على الأرض,High,neutral
المي بتسرسسب سرسبة,الماء يتدفق ببطء شديد,High,neutral
يا هملالي على هالشوفة,يا ويلي (للتعجب) على هذا المنظر,High,neutral
غبّت روحي من التعب,شعرت بالغثيان أو الإعياء الشديد,High,Negative
حط الحطب بالطابون,ضع الحطب في الفرن البلدي,High,neutral
هات الشاعوب من الحاكورة,أحضر المذراة من الحديقة الخلفية,High,neutral
الباب مزتوت زت,الباب مفتوح على مصراعيه,High,neutral
سولفلي شو صار معك,أخبرني بما حدث معك,Medium,neutral
الزلمة ودّى مرته,الرجل أعاد زوجته إلى بيت أهلها (غاضبة),High,Negative
لويش بتكاكي مثل الدجاجة,لماذا تتذمر وتكثر الكلام كالدجاجة؟,High,Negative
بدي ألقّط جعده من الوعر,سأقطف عشبة الجعدة من الجبل,High,neutral
فكّنا من شرك,ابتعد عنا بأذاك,Low,Negative
يا مِشحّر شو سويت,يا سيء الحظ ماذا فعلت,High,Negative
يا مقطوع الطاري,شتيمة لمن لا أصل أو امتداد له,High,Negative
زتّها غاد ولا تسأل,ارمها هناك ولا تكترث,High,neutral
انطز محلك,اجلس مكانك (توبيخ),High,Negative
شايفتك اليوم تعبان,أراك اليوم متعباً,High,Negative
البنت مزيونة,الفتاة جميلة جداً,Medium,positive
لا تتنومس كثير,لا تدّعي الشرف أو الخجل الكاذب,High,Negative
شو هالطخ,ما هذا الكلام المبالغ فيه؟,Medium,Negative
اقلب وجهك من هون,اذهب من أمامي,Medium,Negative
هذا زلمة فاهي,هذا رجل بطيء الفهم أو عديم الإحساس,High,Negative
مرّوح مدعوق من الشغل,عائد متعب جداً من العمل,High,Negative
مخو ضارب هالولد,هذا الولد مجنون أو أحمق,Medium,Negative
بتهوجس لحالك,تتحدث مع نفسك أو تفكر بصوت عالٍ,High,neutral
العقال مايل,العقال مائل (دلالة على الكبرياء أو الاستهتار),High,neutral
هات الرشوف ناكله,أحضر أكلة الرشوف لنتناولها,High,neutral
سويتلنا مكمورة,طبختِ لنا أكلة المكمورة,High,neutral
ناولني المنساس,أعطني العصا الطويلة لحث الدواب,High,neutral
ضوّي السراج,أشعل المصباح القديم,High,neutral
جيب الكربال نصفي القمح,أحضر الكربال (منخل واسع) لتصفية القمح,High,neutral
صُب القهوة بالدلة,اسكب القهوة في الدلة,Medium,neutral
المعازيب اجوا,أصحاب الدعوة (الضيوف أو المضيفون) أتوا,High,neutral
أكرب الأرض مليح,احرث الأرض وقلبها جيداً,High,neutral
بكرا الرجاد,غداً نقل المحصول إلى البيدر,High,neutral
الزرع عطشان,النباتات بحاجة للماء,Medium,neutral
هات الساطور نقص العظم,أحضر الساطور لكسر العظم,Low,neutral
علّق اللحم عالمعلاق,علق الذبيحة على الخطاف,High,neutral
الباطية مليانة طحين,الوعاء الخشبي الكبير ممتلئ بالطحين,High,positive
زقوم ببطنك,طعام سيء في بطنك (دعاء بالغضب),High,Negative
هامل وما بستحي,شخص سيء السلوك ولا يخجل,Medium,Negative
شرواك بالخير,شرواك (تُقال لمدح المخاطب بمقارنته بشخص جيد),High,positive
شب شلاطي,شاب سيء السمعة أو المظهر,High,Negative
راسي مفلوق فلق,رأسي مصدع جداً أو مجروح,Medium,Negative
هي أطرش بالزفة,هو لا يفقه شيئاً مما يحدث حوله,Medium,Negative
جيب الجاروفة ننظف,أحضر المجرفة لننظف,High,neutral
قشّت الدار قش,كنست المنزل بالكامل,High,positive
انطمر بالفرشة,تخبأ أو تغطى في الفراش بشدة,High,Negative
بدي اغفّي شوي,سأنام قليلاً,Medium,neutral
فكّ الريق بلقمة,تناول شيئاً بسيطاً في الصباح لكسر الجوع,Medium,neutral
لا تتشكوَن,لا تكثر الشكوى,Medium,Negative
بتلولح بإيدها,تلوّح بيدها,Medium,neutral
ادعس عالبريك,اضغط على المكابح,Low,neutral
لا تلخّمني,لا تربكني,Medium,Negative
