label,text
Negative,لا أدري لا اعتبره كتابا يستحق القراءة فهو يتحدث عن اشخاص كافحوا للوصول لما هم فيه واحسست ببعض المغالاة في الكتابة حتى تصل الفكرة بأنهم ذاقوا الأمرين. أستثني من ذلك بعض الأشخاص الذين فعلا وضعوا بصمة جميلة في عالم الانترنت العربي ولبس السعودي على وجه الخصوص .
Mixed,مناسب للعوائل جدا . . الإزعاج من قبل الضيوف المتواجدين .
Positive,بصراحة كتاب رائع جدا جدا جدا علمني حاجات كتيييير انا مكنتش اعرفها عن نهاية العالم ويوم القيامة. جزيل الشكر والتقدير لحضرتك.
Positive,الراحة والهدوء . الموقع .طاقم الموظفين . الهدوء .. لا شي
Negative,يا خسارة الكام يوم
Positive,مش عارف ايه نظرية المؤامره دى؟
Positive,الرواية دى فتحت عينى على حاجات ماكنتش أعرفها. وخلتنى أعرف ان معركتنا مع النظام الفاسد لسه طويلة .. وعنيفة. أكتر حاجة عجبتنى فى أسلوب أحمد مراد هى تشبيهاته. :
Mixed,تقييمي للفندق . خدمة السيارات وعمالة خدمة النظافة. روائح كريهة في الممرات الفندق لايستحق هذا السعر الإستقبال سيء الديكور والأثاث قديم المسبح صغير جدا وكذلك النادي الرياضي يعني الصور اللي في الموقع فوتوشوب لايوجد شطاف في الحمام للاستنجاء .
Negative,ضعيف جدا. لا يوجد. لم يعجبني تعامل الموظفين ... القيمه مقابل الخدمه ماتسوى ... حصل لي موقف ولم يتم التعامل معه بجديه .وهو انني كنت اقف سيارتي في المواقف اللتي تحت الفندق وقامت سياره اخرى بالسد علي وعند مخاطبة الرسيبشن وكانه شي عادي المشكله ان عندي رحله ع المطار بعد ساعه بالظبط واللي يرفع الظغط زياده بعد حوسة نصف ساعه ..يطلع مفتاح احد السيارات اللي ساده ع سيارتي مع العاااامل ... من جد وقااااحه لا انصح احد بالسكن به او المرور من جانبه لانه كائب جدا..وشكرا .
Negative,من أراد أن يرتكب جميع الفواحش ما ظهر منها وما بطن فليقرأ الفيل الازرق إيحاءات جنسيه خمر ومخدرات سحر قذف أعتقد أن نصف الموبيقات السبع مرست من خلال هذه الروايه المحبطه
Positive,استثنائي. تعامل الموظفين ممتاز والنظافه في الفندق ممتازة وقريب من كل الخدمات والاماكن.
Mixed,مقبول. . الموقع.عدم الاهتمام بالاطلاله.ومنظر المبنى من الخارج .
Positive,رائع. . لم تكون الغرفة المختارة من موقع الحجز
Mixed,هي عماد الدين من أقامها أقام الدين وهل للإنسان حياة أو شخصية الا بالدين ؟ . فعليك بها في مركبك في بحر الدنيا .
Positive,بشكل عام ممتاز . الهدوء والنظافه ومناسبة السعر. رائحة التدخين التي تصل الى داخل الغرفه و برغم اني غير مدخن لميتم سؤالي عن ذلك
Negative,"عطلة رائعة، خيار سيء للإقامة الشاملة لكل شيء. فندق هاليسي هوليدايز فيليدج. كانت العطلة عبارة عن خيبة أمل، غير أن المشكلة ليست في الموقع أو في المكان. المشكلة فقط في فندق هاليسي. حيث لم يكن فندق نجوم بالمرة. أشبه بفندق نصف نجمة. لا يوجد مشروب في الإقامة الشاملة لكل شيء. لا يوجد ترفيه للأطفال/البالغين. لا يوجد تلفزيون ولا توجد مكواة. وخدمة غسيل الملابس يتم تقديمها بمقابل، وليست خدمة يمكن استخدامها في المجمع بأكمله من الزوار نحن . الموظفون لا يفهمون اللغة الإنجليزية، وأعني أكثر من من الموظفين، كما أن مندوب الرحلة الذي كان من المفترض أن يكون متواجدا ليمثلنا كان مشغولا بتغيير نقودنا الإنجليزية إلى الليرة التركية. أكثر من كونها آمنة. كان للفندق تأثيرا سلبيا على عطلتي. الدولة والأماكن الموجودة فيها جميلة، فقط فندق هاليسي، يحتاج لضخ دماء جديدة فيه. حتى يمكن أن يوفر الراحة للجميع. الطاهي يحتاج لمزيد من الخبرة في الأطباق التي يقدمها، حيث كان طعامه مصنعا، ولا توجد أي فرصة لتذوق الطعام التركي. أو الإنجليزي بالمناسبة فالأطباق محدودة جدا وليست كافية. شامل= كل شيء. وجبات الإفطار والغداء والعشاء ووجبة خفيفة. هذا ليس شاملا = لكل شيء، هذا مهزلة. من ذا الذي يعطي هذه الأماكن هناك ترخيصا للعمل بهذه الصورة. شامل = لكل شيء يعني أن الطعام يتم تقديمه طوال اليوم، هذا هو ما دفعنا من أجل الحصول عليه. والمشروبات شاملة = لكل شيء من الساعة العاشرة مساء وحتى الساعة العاشرة والنصف مساء. ولا يوجد شيء يشعرك بحق بالرغبة في تناوله، براندي وفودكا بجودة متدنية، سعر مرتفع للإقامة الشاملة لكل شيء وأكواب بلاستيكية رخيصة. بالنسبة لي فالفندق مرفوض رفضا تاما، ولن أذهب هناك مرة أخرى، ولكنني سأزور الجزيرة مرة أخرى، إنها أعجبتني كثيرا جدا. يوجد كذلك مطعما خارج الفندق، مما يجعل المسألة تستحق الاهتمام. شكرا لآبل بار، أعجبني الترفيه الذي قدمتموه في جميع الليالي. والمحلات التجارية، ومحلات المجوهرات ومحلات الجلود كانت جميعها مناظر تسر العين لرؤيتها. وقبل أن أنتهي يجب أن أقول إنني أحب شعار العين التركية. فريدة من نوعها. قضيت عطلة رائعة، تأكد فقط أنك تحمل مالا إضافيا يكفي للذهاب لتناول الطعام في الخارج ولكن مثل هذه النوعية الأفضل من الطعام، لن تجدها في فندق هاليسي."
Negative,مخيب للأمل. الديكور والمبنى. طاقم الععمل ضعيف ويبدو ان الاداره مصريهلا سبدو ان هناك عزل قوي للصوت اصوات من يمر من عند الباب والمصعد واضحه من داخل العرفه ومستوى بوفيه الافطار صباحا متواضع جدا
Negative,الكتاب يستعرض حياة جبران خليل جبران من جوانب مختلفة عن طريق صديقه ميخائيل نعيمة. لم يعجبني اسلوب الكاتب وكان الكتاب ممل بشكل كبير.
Positive,رائع .. رائع. لم اقرأ سيرة ذاتية بهذا الصدق. هوجمت النسخة العربية من الكثير بل منع لفترة في بعض البلاد . نحن نحب التجميل والتزيف نكره مواجهة الواقع للأسف. أنقصت نجمة لشعوري أن بعض المصطلحات كان في غنى عنها
Mixed,مقبول. . يوجد رائحة مجاريالمكيف لا يعطي أداء جيد المفارش متآكلة وقديمة جدا جدا
Negative,فكرة الرواية حلوة .. خسارة ان مطلعش منها حاجة احسن من كده
Positive,أسلوب رائع...و مجموعة قصصية طافحة بالوطن . جميل أيها الشهيد غسان كنفاني
Negative,الكتاب فلسفي بحت. وبما اني مش بحب الفلسفة.. محبتش الكتاب
Positive,هذا من أهم كتب أبوزيد إن لم يكن كتابه المفتاحي .. كنت أقرأ متحفزا لحرب أو لهجوم أرد به على هذا التنويري الهادم للعقائد كما يصوره جزء من الخطاب الإسلامي لكن ما وحدته هو بحث حقيقي أتفق مع جزء كبير منه خاصة في الجزء الثالث المخصص للخطاب الديني : الغزالي نموذجا و أختلف معه كذلك في كثير لكن هذا الاختلاف لا يصل إلى حد أن يكون الرجل بما طرحه يريد هدم الدين فعلا على الأقل في هذا الكتاب كلامه عن التأويل و أسباب النزول و الناسخ و المنسوخ و قراءته لكتب التفسير و الإعجاز متقنة و مفيدة حقا و تفتح الباب أمام الكثير من النقاش و خاصة في بداية الكتاب حين يتكلم عن أن النص كان منتجا للثقافة ما أخالفه بقوة و جذرية طبعا دون نفي انسجام هذا النص و موقعه اللغوي ضمن تلك الثقافة ولكنه مفهوم قد نجده في تصور الأولين أيضا كذلك حديثه عن الكهانة و أن المسلمين لم ينفوا الكهانة لأنهم بذلك يلغون أساس النبوة اعتبرته سخيفا الحرص المبالغ به على أسباب النزول من أبوزيد و بعض أبناء المؤسسة الدينية لا أتفق معه كذلك و أراه موضعة زمنية للنص تلغي فعاليته و شموله يتكلم أبو زيد عن أسباب النزول في أكثر من موقع من الكتاب أرى أنه أخذ موقفا متوازنا أكثر في آخره أما الناسخ و المنسوخ هذه المعضلة التي تشغلنا دوما فربما يكون طرح أبوزيد و تقسيمه لها ناضجا و أقرب لتقديس النص أكثر من طرح بعض المشايخ و إن كنت لا يمكن أن أوافق على مسألة المنسوخ تلاوة لأنني أعتقد بوجود أزلي سابق للنص حسب التصور الأشعري الذي يرفضه أبوزيد تماما و هذا إحدى الاختلافات الجذرية أيضا .. كلامه عن التأويل و ضرورة أن يكون المنشغل به ملتزما و متمكنا بعلوم التفسير حتى لا يميل به إلى الأهواء و لا يصبح التأويل سائلا لكل من أراد كان جميلا و رد على من يتهم الرجل بأنه يريد أن يصل إلى سيولة النص لا أعرف إن كان ذكر ما يخالف هذا في كتاب آخر .. بالمحصلة أجد هناك اختلافات حقيقية بين التصور الإسلامي العام للقرآن و بين تصور أبوزيد ولكن تصوره و آراءه لم تكن خاصة به في قسم كبير منها بقدر ما يشترك فيها مع جزء كبير من المدرسة الإسلامية نفسها ليس المعتزلة وحدهم و إن كان هناك تحيز في كتابته فإنه تحيز باحث و قارئ جيد للنصوص يمكن الرد عليه من خلال قراءة أخرى للنصوص نفسها و الاختلافات التي قدمها مع تأكيده على ضرورة امتداد فاعلية النص في الزمان و استخدام التأويل لأجل ذلك حتى لا يكون النص ابن زمانه التاريخي فقط قد تصل إلى حد الاختلاف نعم و الاختلاف الجذري أحيانا ولكن ليس إلى حد تقديمه كزنديق يحارب الله و رسوله و يريد إلغاء الدين .... و تصويره ككاريكاتير للهجوم عليه و محاربته فقط بدل الحوار الحقيقي من خلال كتاباته أو إهمالها إن كانت لا تستحق . آراؤه و إضاءاته مفيدة لإعادة الحياة إلى هذه المدرسة التي أكلها الجمود على كل حال ... على الأقل من خلال مراجعة أنفسهم للتمكن من الرد عليه باللغة و الفكر و القرآن نفسه لا بالشتم فقط .. على الأقل و لا أحد ينكر أن قراءة القرآن و تقديمه في الخطاب الديني المحارب للتاريخية كصنم هو نفسه يقدمه كمنتج تاريخي صالح لزمانه فقط و يرفض أي قراءة تستفيد منه في هموم الحاضر الحقيقي و يتناسى وعي أن هذا النص الهوية و العقيدة صالح و مجدد و فاعل في كل زمان و مكان .... هذا لا يعني أن أبو زيد هو بديل إسلامي و متزن للخطاب التقليدي ولكنه محفز لهم للمراجعة و التجديد و مفيد حقا في هذه العملية .. و هو مفيد للتعرف على مناهج الألسنية و النقد الحديث أيضا. رحمه الله و غفر له ...
Negative,مش عارف ليه حسيتها مبتذله ومفيهاش اى نوع من انواع التشويق او الاثاره. والاقتباس واضح بشده من سلسله ما وراء الطبيعه. وبعدين مفيش اي خيال او شئ خارج عن المألوف. من الاخر واحده من اسوأ الروايات اللي قرأتها في حياتي
Negative,من أسوأ ما قرأت فى حياتى على الإطلاق ...
Positive,احببت موضوع الروايه وجذبني اسم الروايه جدا واستمتعت بها ولكن اعتراضي الوحيد على النهايه التي جعلتني اشعر بالضياع والغباء..
Mixed,فكرة شرح المعلومات في اخر الكتاب رائعة
Positive,اجمل روايات رضوى عاشور
Positive,"الكتاب رائع جدا خاصة للرد على الملحدين وأسلوبه مشوق وممتع ومفيد جدا وجدير بكتاب كهذا أن يدرس لا أن يقرأ مرة واحدة... تبدأ رحلة عقل بعرض الرحلة الفكرية لأستاذ الفلسفة البريطاني أنتوني فلو الذي تراجع بعمر الثمانين عن الالحاد الى الايمان، بدافع من الاكتشافات العلمية الحديثة، لكنه توقف عند الاقرار بالالوهية دون اعتناق دين من الاديان... ثم يستكمل الكتاب الرحلة فيطرح العلاقة بين مفاهيمنا الدينية ومشاعرنا الروحية وبين بيولوجيا الانسان، متمثلة في جيناته ومخه وقلبه... واخيرا يضع الكاتب في ميزان العقل رحلة الانسان في الوجود المشهود والغيبي كما يعرضها الاسلام ليرى ان كانت تصل في حجيتها الى مصاف الحقائق العلمية"
Negative,"لا انصح به ابدا، حتى يقوم بعملية ترميم كاملة . قربه من الحرم وبعض الخدمات. المفارش قدييمةودورات المياه سيئة التصريف، وقديمة ومتسخة جداتوجد بعض الحشرات في الغرفالصيانة والخدمات جدا سيئةالهواتف لا تعملخدمة الغرف والاستقبال بليدين جدا"
Mixed,السعر غالي مقابل الخدمات والسكن. . مواقف السيارات متوفرة بكثرة .. الغرفة نظيفة .. خدمة الغرف طلبوا تنظيف الغرفة قبل أن أطلب منهم .. سرعة في تسجيل الدخول وسرعة في تسجيل الخروج .. جميع الموظفين حاضري الابتسامة وفي الخدمة .. موقعه على شارع الشيخ زايد مباشرة .. ممكن أكرر السكن فيه لو انخفض سعره ... السعر غالي مقابل الغرفة والخدمات .. طلب تأمين على الغرفة وسحب من الفيزا وأخبروني انه سيعود لي بعد أسبوعين .. رغم كثرة المصاعد إلا أنه يوجد انتظار طويل نوعا ما عند أبواب المصاعد فالبرج الواحد فيه دور .. المطبخ شكل بس ادراج خالية وثلاجة وبوتجاز .. لا يوجد أدوات مطبخ ولا مايكرويف حتى ملاعق لا توجد .. ممكن أكرر السكن فيه لو انخفض سعره
Positive,استثنائي. الترحيب والاستقبال والنظافة والتفاهم وتخليص الحجز والي اخره..
Positive,الاقامة بصفة عامة جيدة جدا . الموقع والخدمات بالفندق. الازعاج و التنبيهات للخروج من الغرفة قبل موعد المغادرة حيث يتم التنبيه قبل المغادرة بيوم و كذلك الاتصالات الهاتفية من الاستقبال المستمرة بالرغم من عدم تجاوز الموعد المحدد
Negative,كتاب قرأته و انا في الصف الثاني الاعدادي على ما اتذكر. بالتأكيد مثل هذه الكتابات و غيرها من أمثال الكثير مما كتب أنيس منصور عليه رحمة الله كانت تجد صدا لها في طفولتي و لا أنكر انها حفزتني على القراءة.. لكن عندما أفكر فيها بعد العشرين أجد أنها لا تحمل اي قيمة سوى الترفيه و التدريب على القراءة ليس أكثر
Negative,استمتعت بقراءة بعض المقالات اللطيفة و الملهمة لكن اغلبها كان مكرر بالنسبة لي
Mixed,"بعض النصوص مذهلة ، والبعض الاخر عادي وممل اجمالا الاسلوب غير سلس ولم استسغه كثيرا... ربما لاني قرأت ادونيس وانسي الحاج وجدت نمط اللاطمأنينه والحيرة عندهما مسبقا فتشبعت به .. ربما"
Positive,"بذرة الشر تهيج، ولكن بذرة الخير تثمر، إن الأولى ترتفع في الفضاء سريعآ ولكن جذورها في التربة قريبة،. حتى لتحجب عن شجرة الخير النور والهواء، ولكن شجرة الخير تظل في نموها البطيء، لأن عمق جذورها في. التربة يعوضها عن الدفء والهواء.... عندما نلمس الجانب الطيب في نفوس الناس ، نجد أن هناك خيرا كثيرا ، قد لا تراه العيون أول وهلة"
Mixed,"تنتقص لاخلاقيات الشريعة ولعل هذا بسبب ما كان سائدا فعليا في فترة كتابتها .. ولعل هذا السبب الذي يجعلني انتقص النجمتان .. أما الفكرة والأسلوب فرائعان كعادة بهاء طاهر .. في الرواية ما يثبت لي أن التاريخ يكرر نفسه دائما.. القصه ما هي الا مجاز عن قضية أكبر. وكأنه يتحدث عن فلسطين أوما شابهها من قضايا. الذروه بالنسبة لي كانت عندما يسئل البطل. ترى لما فعل ابن عمك هذا؟ . لا أعلم هل اجاب الكاتب على السؤال عندما جعل البطل يكاد يضحي بحياته من اجل حبيبته ام انه ترك الاجابات للقاريء او للزمن بشكل نهائي. تحمل نسختي من هذا الكتاب توقيعا من المؤلف،الذي أحترم كتاباته بشدة واحترم كونه اديبا رائعا يستطيع التعبير عن فكرته باسلوب سلس شائق."
Mixed,جميل اسلوب المنسي قنديل. قصص قصيرة جيدة. تتحدث عن الخواء والفراغ الداخلي والاحساس بلاجدوى الحياة. وتتحدث عن الزمن القاسي الذي يبيع فيه الانسان كل شئ وأي شئ. القصة الاخيرة قصة سعدة الفتاة ذات الوجه الصبوح. قصة كل المغتربين في الخليج. قصة قاسية. قاسية حد البكاء. .......................... لماذا يجب أن تنام معه نبقة ولماذا يجا أن اجلس تحت قدمية .... لماذا تكون لقمة العيش بهذا الذل وبهذه المرارة
Positive,"رائع. أشكر المدير المناوب أحمد النفاعي على حسن تعاونه ، روح التعاون من بعض الموظفين، السماح للطفل تحت سن سنه بالدخول مجانا في المطعم،الترحيب الجيد بالضيف.. أقمت في أدوار مختلفة لأني مددت الإقامة وجددت حجزي في الفندق ولكن وجدت خدمة الفندق في الدور سريعه على عكس الدور والدور بل في كثير من الاحيان لم يتم الاستجابة لطلبي ولم تكن الضيافة موجودة في بعض الغرف التي تم حجزها ،لم يتم قبول تبديل فطوري بسحور لقدومي بعد وقت الفطور للفندق،هذا غير أنه عند ذهابي للسحور وجدت أمراءة تطلب مني أن اسمح لها بمشاركتي السحور لانها صلت المغرب والتراويح في الحرم وعند عودتها للفندق لم يقبل لها الدخول للفطور لانتهاء الوقت .عدم وجود مصلى خاص بالفندق. البطانيات قديمه جدا ومنمشة."
Mixed,"كانت تجربتي الثانية للقراءة للمؤلف وبنفس الموضوع بعد قراءتي لإصداره القراءة الذكية، يتكون الكتاب من تسعة فصول متسلسلة كالتالي :. الفصل الأول: كيف تقرأ كتابا إذا كنت لا تستمتع بالقراءة؟. الفصل الثاني: كيف تصبح قارئا شغوفا؟. الفصل الثالث: ما هي مجموعات القراءة؟. الفصل الرابع: كيف تنشئ مجموعة للقراءة؟. الفصل الخامس: كيفية الاستعداد لجلسة مجموعة القراءة. الفصل السادس: العراقيل التي قد تواجه مجموعة القراءة. الفصل السابع : كيف تجري جلسة مجموعة القراءة؟. الفصل الثامن : كيف نجعل الأطفال يحبون القراءة؟. الفصل التاسع : كتب مقترحة لمجموعات القراءة الجديدة.. والجديد في هذا الكتاب من وجهة نظري مايتعلق بمجموعات القراءة لإنه يطرح من خلالها خلاصة تجربته في إنشاء مجموعات القراءة،وماسواه تم التطرق له بشكل مختصر في كتابه القراءة الذكية.. مقتطفات من الكتاب :. فوائد مجموعة القراءة :. انضمام وتفاعل المنتسب للمجموعة يجعل منه قاريء نشط.. الالتزام بالوقت المحدد لقراءة الكتاب وبالتالي اكتسابه لمهارة الالتزام بالوقت.. اكتساب المنتسبين لمجموعات القراءة ملكة الحوار والنقاش.. القدرة على ضبط النفس والإنصات الجيد لما يطرحه الآخرون.. لايحتاج المشارك في مجموعة القراءة إلى بذل جهد كبير في قراءة الكتاب المقرر نظرا للفوائد التي سيجنيها من حضور النقاش. مواصفات مدير المجموعة الناجح:. قاريء جيد ومطلع على مواد المناقشة. لبق وقادر على إدارة دفة الحديث. يجيد التعامل مع النوعيات المختلفة من البشر. ملتزم بالوقت. مستمع جيد. بقية العرض هنا. :// . . / ="
Positive,يا الله. عمل قمة فى الجمال أمن الضرورى فقد من حولنا لنشعر بأهميتهم ؟. الاولاد و الأب لم يهتموا بأمهم أو يشعروا بها الا عندما اختفت.. الفصل الاول يدور حول الابنة الكبرى التى تأكدت أنها لا تعرف شئ عن أمها ولم تعلم أن امها اصيبت بسكتة دماغية و نقدر نقول أنها من اكثر الابناء تاثرا بفقد الأم. الفصل الثانى عن الابن الاكبر. الابن المفضل لأمه الذى ضحى كثيرا من أجل امه طوال حياته و حين لم يستطيع تحقيق حلمه أحست أمه بالذنب. الفصل الثالث عن الاب الذى لم يشعر بالحب تجاه زوجته الا عندما فقدها و يبدأ بعد خمسين عام من الزواج الندم على تجاهله لها و هربه من البيت بصحبة الفتيات. الفصل الرابع يعود للأبنة الكبرى التى مازالت تتمنى رجوع امها و مازالت تشعر بالأمل حتى بعد أشهر من اختفائها و كل ما تفعله هو أن تدعى و تصلى الى الله و تقول أرجوك اعتن بأمى.
Negative,هذا الفندق لايستحق ان يصنف من الفنادق الجيده . لا شىء. الغرف غير نظيفه مستوا الخدمه جدا ضعيف طاقم الاستقبال غير مدرب كفايه لاستقبال النزلاء الاكل في خدمه الغرف لايصلح لاستعمال الادمي تقييييمي لهاذا الفندق انه لايستحق اي نجوم ولا يستحق ان يعرض
Mixed,أحببت الفكره .. لكن لم تعجبني طريقة السرد مملة قليلا
Negative,الكبه الحايلي اسمها كذا الى هو ورق عنب مسفط المهم قد طلبناه قبل سنه تقريبا وكان لذيذ هذي المرة اخذنا معاه كبه ومتبل ومشويات وكل الى ع السفرة كان اقل من عادي والحمد لله ونصيحه لا تجربون مشويات من عندهم المشكله حتى الكبه الحايلي كانت مجمدة مافيها لا طعم ولا حياة
Mixed,عجبنى التفكير الفلسفى
Mixed,مقبول. قسم الاستقبال.. عدم وجود مواقف للسيارات.الاثاث قديم مخالف للمنظر المعروف في العرض .الغرف ضيقة جدا.
Positive,خمس نجوم دعما لأشرف : . قرأت الكتاب فضولا لمعرفة ما سبب إعدامه ولم أجد أي جملة تدعو للإلحاد أو الشرك.
Mixed,حسن. . إزعاج المنظفين
Mixed,الي حد ما مسلية فيها شوية معلومات ورسالة واضحة عن الظلم والنفس البشرية ا مارة بالسوء بس بصراحة تطويل في وصف طرق التعذيب مبالغ فيه ل طالة وخلاص.. نجوم عشان الكام معلومة وخلاص
Mixed,حسن. موقعه ممتاز لا توجد مميزات أخرى. الغرفة غير نظيفة كفرش الارضية فيه بقع وقذارةمرتبة السرير غير مريحة تماما وليست فيها جودةبوفيه السحور غير متنوع ويفتقد للاكل الريئسي السعودي
Negative,فندق سيء لا يستحق أكثر من أربع نجوم . الموقع فقط. للأسف الفندق سيء من كافة الجوانب ... موظفين غير مؤهلين ومدرائهم أسوأ منهم ...المصاعد سيئة وفي كل نزول أو صعود تضطر للانتظار طويلا ... الفندق لا يستحق خمس نجوم إطلاقا
Negative,ضعيف. لاشيء. موظفو الاستقبال يحسبونك بقرة حلوب حجزت عندهم لشخصين بالغين زائد طفلين وارادو ان يضيفو علي مبلغ درهم قيمة سرير اضافي قلت لهم اوكي شخصين بالغين لهم سرير وين ينامو والاطفال كيف ؟ واصرو على دفع مبلغ درهم فطلبت منهم احضار المسؤول هندى الجنسية الدي امرهم باضافة سرير واحد مجانا مشكور على تدخله. ومنعوا ابنتي التي حضرنا الى الدولة قصد زيارتها من البقاء معنا والمبيت معنا رغم انهم لم تكن تتوفر عندهم شقق اكبر يمكنني الترقية اليها. نفس المعاملة قوبلت بها بعض الاسر العمانية .المهم .لا انصح فيه بالنظر للمعاملة السالفة الدكر وكدا الضجيج الدي تسمعه بالخارج سواء من السيارات او من الاشغال المقامة بالقرب من المكان.
Mixed,حسن. فندق جيد ولكن موقع صعب.
Mixed,جيده . المويه في عز الصيف تحصلها بارده يعني تاخذ شور كانك في الشتاء عكس الفنادق الثانيه. البوفيه سيء جدا
Mixed,سافرت لأكثر من دولة لم أواجه أسوء من إستقبال هذا الفندق . هدؤ. لم تجهز الغرفة الا بعد الساعه : .
Negative,اسلوب الحكي سيء .. الاسقاطات بعيدة جدا.. نهاية غير مرضية
