id,text,dialect,sentiment,confidence
53,"سمعت إن في عروض بالسوق الجمعة، ممكن أروح",ammani,neutral,high
54,"بدي أبدأ مشروع صغير من البيت، بس لسا ما حددت الفكرة",ammani,neutral,high
55,القهوة من عند بريق اليوم كانت تحفة والله,ammani,positive,medium
56,"عيلتنا اجتمعت على الغدا اليوم، فرحة ما بتوصف",ammani,positive,high
57,بدي أطور شغلي بس ما عارف من وين أبدأ بالضبط,ammani,neutral,low
58,اليوم بالجامعة كانت محاضرتين بس وبعدين رحت,ammani,neutral,medium
59,"الطقس هاي الأيام ما بيثبت، صبح وعصر مختلف",ammani,neutral,high
60,"رفقاتي فاجؤوني بعيد ميلاد، والله فرحت كتير",ammani,positive,high
61,أخيرا وصلت الشحنة  كنت مستنياها من أسبوعين,ammani,positive,medium
62,صاحبي سألني عن مطعم منيح قرب الرابية,ammani,neutral,high
63,"الأسعار ارتفعت بشكل محسوس هاد الشهر، صعبة",ammani,negative,high
64,"تخيل لقيت بارقينج من أول لفة بوسط البلد، يوم محظوظ",ammani,positive,high
65,"فريق المحلية ربح امبارح، يلا يلا",ammani,positive,high
66,"بدي أروح أزور جدتي هالأسبوع، ما شفتها من فترة",ammani,neutral,medium
67,"الجو بيت يصحى بيت يغيم، ما بعرف شو البس",ammani,neutral,medium
68,الحافلة تأخرت اليوم نص ساعة وأنا واقف بالبرد,ammani,neutral,high
69,"اشتريت موبايل جديد أخيرا، الكاميرا فيه تحفة",ammani,positive,high
70,"اشتريت هدية لصاحبتي عيد ميلادها، أتمنى تعجبها",ammani,neutral,high
71,"الشغل اليوم مش كتير، قدرت أرتاح شوي بين المهام",ammani,positive,high
72,باص المدرسة تأخر ساعة والولاد واقفين بالبرد,ammani,negative,high
73,"رحت أدفع الفاتورة، دايما بنسى لآخر يوم",ammani,neutral,high
74,"اليوم أكلنا شاورما من عند رامي، من أحسن ما جربت",ammani,positive,high
75,جبت طلبية من مطعم وجاءت باردة وناقصة صنف,ammani,negative,medium
76,"اليوم خففت الأزمة بشكل ملحوظ، وصلت بنص الوقت",ammani,positive,medium
77,المدير طلب مني أخلص تقرير لبكرا وأنا معي كم مهمة ثانية,ammani,negative,high
78,"في موضوع بالشغل مش واضح كتير، لازم أحكي مع المدير",ammani,neutral,high
79,رفقاتي بفكروا نروح البحر الميت نهاية الشهر,ammani,neutral,high
80,رجعت عالبيت ولقيت الكيس اللي اشتريته مش كامل,ammani,negative,medium
81,"اليوم عندي امتحان ميد ترم، بروح أذاكر هسا",ammani,neutral,high
82,"بنزين نزل شوي هالأسبوع، بس لسا غالي",ammani,neutral,high
83,المبنى الجديد اللي قرب بيتنا صار يستوي,ammani,neutral,medium
84,"بفكر أشتري سيارة، بس الأسعار ارتفعت كتير",ammani,neutral,high
85,"زيارة جرش اليوم كانت روعة، المكان أجمل مما توقعت",ammani,positive,high
86,بحكي مع صاحبي كل يوم بالواتساب بس ما شفناه من فترة,ammani,neutral,medium
87,"صرت أوصل متأخر كل يوم بسبب الباص، تعبت",ammani,negative,high
88,"خلصت امتحاناتي الحمد لله، بدي أنام أسبوع كامل",ammani,positive,low
89,الجيران بيعملوا ضجة بالليل وما بقدر أنام,ammani,negative,medium
90,"اشتغلت من البيت اليوم، أحيانا أفضل من الأوفيس",ammani,neutral,high
91,"صاحبي تجوز امبارح، ربنا يبارك فيهم",ammani,positive,high
92,"اليوم الخميس، يعني بكرا جمعة ويوم عطلة",ammani,neutral,high
93,"راتب الشهر نزل الحمد لله، أول شي بسدد الأقساط",ammani,positive,high
94,سمعت إن في حفلة بوسط البلد الجمعة,ammani,neutral,medium
95,اكتشفت انو ناسي مفتاح البيت وأنا قدام الباب,ammani,negative,high
96,"اشتريت أغراض البيت وفضل معي فلوس، نادر يصير هيك",ammani,positive,high
97,"الفاتورة هاد الشهر أكتر من الراتب، كيف؟",ammani,negative,medium
98,"كل يوم نفس الروتين، صحيان شغل بيت نوم، زهقت",ammani,negative,high
99,"في معرض كتاب بعمان هالأسبوع، ممكن أروح أطل",ammani,neutral,high
100,"اشتريت جاكيت جديد من ويست مول بسعر منيح، انبسطت",ammani,positive,medium
101,"شفت إعلان وظيفة منيحة، بفكر أتقدم عليها",ammani,neutral,medium
102,"ولسا ما رد علي من أمبارح، مو شاطر",ammani,negative,high
103,"الحفاظ على الصحة والأكل الصحي صعب بعمان، الأكل اللذيذ في كل مكان",ammani,neutral,medium
104,"رحت على الدائري وكانت أزمة ما بتصدق، وصلت متأخر على الاجتماع",ammani,negative,medium
105,الانترنت من الصبح مو شغال وما قدرت أخلص شغلي,ammani,negative,high
106,"باجي بعد ساعة تقريبا، في شوي ازمة عالطريق",ammani,neutral,high
107,"الفيلم اللي شفناه البارح كان ممتاز، استمتعنا كتير",ammani,positive,high
108,"طلبنا بيتزا وقعدنا نتفرج نتفلكس، أحلى سهرة",ammani,positive,medium
109,أخوي رجع من السفر وجاب معه هدايا حلوة,ammani,positive,low
110,"المشروع اللي قدمناه بالجامعة اشتغل تمام، استاهل التعب",ammani,positive,high
111,"ولدي جاب علامات حلوة بالمدرسة، فخور فيه",ammani,positive,medium
112,قعدت ساعتين بالعيادة وبس دخلت على الدكتور خمس دقائق,ammani,negative,high
113,الفلافل من عند أبو جبارة ما في زيها بعمان,ammani,positive,high
114,"رحت عالأقارب اليوم، دايما انبسط لما أشوف العيلة",ammani,positive,medium
115,"الجامعة الأردنية كتير زحمة هالأيام، بتحس حالك تايه",ammani,neutral,medium
116,بحكي مع أمي كل يوم حتى لو ما صار في شي جديد,ammani,neutral,high
117,"قاعد بالبيت اليوم، ما في عندي شغل براهن",ammani,neutral,medium
118,"الكهربا انقطعت مرتين اليوم ومعي شغل مهم، مو معقول",ammani,negative,medium
119,"الدوام طول واحنا جالسين ما عندنا شغل، تعب بدون فايدة",ammani,negative,high
120,"اشتريت كتب جديدة من مكتبة دار الكتاب، انبسطت كتير",ammani,positive,high
121,رحت عالصيدلية آخد دوا بسيط وخلصت بعشر دقائق,ammani,neutral,high
122,"طلبوا مني وثيقة ما عندي، رجعت عالبيت بدون ما أخلص معاملتي",ammani,negative,medium
123,"اليوم عندي تسليم مشروع، قاعد أخلصه هسا",ammani,neutral,medium
124,أخيرا لقيت شقة بسعر مناسب قريبة من الشغل,ammani,positive,high
125,اليوم طول اليوم اجتماعات وما قدرت آكل أو أرتاح,ammani,negative,high
126,والله الزحمة بمجمع الجامعة الأردنية هاي مش طبيعية,ammani,negative,high
127,"اليوم كان في اجتماع طويل بالشغل، خلص متأخر",ammani,neutral,high
128,"تعبان شوي من البارح، حاسس براسي ثقل",ammani,negative,medium
129,"والله اليوم كان يوم ممتاز، خلصت شغلي بدري وطلعت مع رفقاتي على وسط البلد",ammani,positive,medium
130,كل ما بدي أشتري شي مهم ما يكون عندهم,ammani,negative,high
131,الكمبيوتر راح يموت ما عندي فلوس أصلحه هلأ,ammani,negative,medium
132,"صاحبي وصله قبول جامعة برا، يستاهل والله",ammani,positive,medium
133,"صاحبتي اشتغلت بشركة جديدة، مبروك عليها",ammani,positive,low
134,"لازم أجدد اشتراكي بالجيم، انقطعت من فترة",ammani,neutral,medium
135,والله زهقت من الأزمة على الدوار الثالث كل يوم نفس الفيلم,ammani,negative,high
136,اليوم عندي موعد بالعيادة الساعة اثنعش,ammani,neutral,high
137,"طلبت إجازة وما وافقوا، والله زعلت",ammani,negative,high
138,"الجو بعمان متقلب، الصبح صحيت وكان برد وبعدين صار حر",ammani,negative,medium
139,"بفكر أبدل الراوتر، الانترنت مو منتظم",ammani,neutral,low
140,الأكل من عند هاشم دايما تمام ما بخيب الأمل أبدا,ammani,positive,high
141,مريت على صاحبي اليوم شوي وبعدين رجعت,ammani,neutral,high
142,قاعد أفكر إذا أكمل دراسة عليا أو أبقى بالشغل,ammani,neutral,high
143,المشروع تأخر من الجهة الثانية وهاد راح يأثر علينا,ammani,negative,high
144,"اليوم وقفت بالبنزينة ربع ساعة، الدور كان طويل",ammani,neutral,high
145,"بفكر أسجل بدورة إنجليزي، لازم أطور",ammani,neutral,high
146,"بدي أجدد جواز سفري، بس الدور معروف كيف",ammani,neutral,high
147,"نزلت أمطار خفيفة على عمان، والله ريحتها حلوة",ammani,positive,medium
148,"انتهت إجازتي بسرعة، حاسس ما ارتحت",ammani,negative,medium
149,"الجامعة بدأت الأسبوع الجاي، بدي أجهز أموري",ammani,neutral,high
150,"الحساب على المطعم طلع أكتر من اللي قالوه، مو كويس",ammani,negative,high
151,قاعدين نفكر وين نمضي العيد هاي السنة,ammani,neutral,high
152,"قاعدين نخطط لسفرة العيد، بس لسا ما اتفقنا على المكان",ammani,neutral,high
153,"كل ما بدي أنام بتجيني أفكار، ليش هيك؟",ammani,neutral,high
154,"الامتحان كان أصعب مما توقعت، مش عارف كيف طلعت",ammani,negative,high
155,بفكر أروح أزور الأقارب هالأسبوع بعد ما غبت كتير,ammani,neutral,high
156,"الفاتورة هاد الشهر طلعت زيادة عن المتوقع، مو عارف كيف",ammani,negative,medium
157,"تخرجت ابنة خالتي اليوم، الله يوفقها ويكملها بالأفراح",ammani,positive,high
158,"الأجار طلع هاد الشهر وما عندي كفاية، ضيقة",ammani,negative,medium
159,السوبرماركت كان غاصّ بالناس واضطريت أستنى ربع ساعة بالكاشير,ammani,negative,high
160,"صاحبي وصل من السفر أخيرا، يسلم عالسلامة",ammani,positive,high
161,"صاحبي خذلني بموضوع مهم، زعلت منه كتير",ammani,negative,high
162,"بدي اروح عالمول بكرا، في حاجات بدي أشوفها",ammani,neutral,high
163,"عمان بتكبر كتير هالأيام، شوارع وأبنية جديدة كل ما تطلع",ammani,neutral,high
164,"اليوم في ضيوف عالبيت، امي طابخة من الصبح",ammani,neutral,medium
165,"لقيت مكان جديد بيبيع قهوة مختصة، لازم أجربه",ammani,neutral,high
166,"والله اليوم انبسطت، صاحبي فاجأني وجا من السفر بدون ما يحكيلي",ammani,positive,high
167,"أخيرا خلصت كل الأوراق اللي كانت ناقصة، الحمد لله",ammani,positive,high
168,"المقابلة مشت تمام اليوم، متفائل كتير",ammani,positive,high
169,"رجعت من السفرة مرتاح، كانت تجربة حلوة",ammani,positive,high
170,"الجو هالأسبوع حلو بعمان، برد خفيف وشمس",ammani,positive,medium
171,"طلع راتبي وعنده زيادة ما كنت متوقعها، يوم مبارك",ammani,positive,high
172,"البنت الكبيرة حكتلي إنها قبلت بالجامعة، فرحت كتير",ammani,positive,high
173,"أكلنا اليوم كنافة من القدس، والله من زمان ما أكلت هيك",ammani,positive,medium
174,"الاجتماع خلص بنتيجة كويسة، كلنا اتفقنا على الخطة",ammani,positive,high
175,"زرت صديقي بالمستشفى واليوم خرج بالسلامة، الحمد لله",ammani,positive,low
176,لقيت الكتاب اللي كنت دوّر عليه من زمان بالمكتبة,ammani,positive,high
177,"أخوي نجح بالثانوية بعلامة ممتازة، مبروك عليه",ammani,positive,high
178,"رحنا نتمشى بجرش، المكان ما شاء الله روعة",ammani,positive,high
179,"الأستاذ مدح مشروعي قدام الكل، انبسطت كتير",ammani,positive,high
180,تخيل لقيت جاكيت اللي كنت دوّر عليه بنص السعر,ammani,positive,medium
181,"اليوم استقبلنا ضيوف من بره، فرحنا فيهم كتير",ammani,positive,high
182,"امتحان الدكتوراه خلص والحمد لله، تعب طويل انتهى",ammani,positive,high
183,"قدرت أوفر فلوس هالشهر، أول مرة من فترة",ammani,positive,medium
184,"المشروع الجديد بدأ شغله، متحمس كتير إله",ammani,positive,high
185,"صاحبي انبسط بهديتي، حاسس إني اخترت صح",ammani,positive,medium
186,"خلصت ديوني كلها الحمد لله، راحة بال ما بتوصف",ammani,positive,medium
187,"رحت على الحفلة امبارح وكانت تحفة، الموسيقى كانت روعة",ammani,positive,high
188,"الطبيب قال إن كل شي تمام بالتحاليل، الحمد لله",ammani,positive,low
189,"أول يوم بالشغل الجديد كان ممتاز، الناس كويسين",ammani,positive,high
190,"ولدي حفظ القرآن كامل، فخور فيه ما بيوصف",ammani,positive,medium
191,"رحنا نتفسح على البحر الميت، استرحنا وانبسطنا",ammani,positive,high
192,لقيت شقة جديدة أحسن من القديمة بنفس الإيجار,ammani,positive,high
193,"اليوم عرست ابنة خالتي، فرح ما بتوصف",ammani,positive,high
194,الأكل اللي طبخته امبارح طلع أحسن مما توقعت,ammani,positive,high
195,"وصلتني رسالة قبول بالماستر، أحلى خبر بحياتي",ammani,positive,high
196,"صاحبتي ربحت مسابقة، يستاهلها والله",ammani,positive,low
197,"المطعم الجديد اللي جربناه كان خيال، رح نرجعله",ammani,positive,high
198,"اليوم قعدت مع العيلة نحكي ونضحك، أحلى سهرة",ammani,positive,high
199,"الشركة وافقت على مشروعي، تعب السنة استاهل",ammani,positive,medium
200,"أجا الربيع وعمان زهرت، ما في أحلى من هيك",ammani,positive,high
201,"البنك وافق على القرض، قدرت أكمل بناء البيت",ammani,positive,low
202,"خلصت الكورس اللي كنت مسجل فيه، شهادة جديدة",ammani,positive,high
203,"رحت زرت جدي اليوم، فرح فيني كتير وأنا كمان",ammani,positive,high
204,"العلامة اللي طلعت ما كنت مستنيها، ممتاز",ammani,positive,medium
205,"الزميل اللي بدو يسافر لقي فرصة شغل ممتازة، مبروك",ammani,positive,high
206,"كنت خايف من الاجراء وطلع بسيط، الحمد لله",ammani,positive,medium
207,"امي عملت غريبة وكنافة بيوم واحد، يوم محظوظ",ammani,positive,high
208,"الأوضاع تحسنت شوي هالفترة، بتحس بفرق",ammani,positive,low
209,"تخرجت اليوم بعد أربع سنين، يوم ما بنساه",ammani,positive,low
210,"صاحبي رجع من العلاج بصحة كاملة، الحمد لله",ammani,positive,medium
211,"لقينا مكان جديد للقعدة بعمان، هادي وأسعاره منيحة",ammani,positive,high
212,"ولدي حكالي بيحبني، قلبي راح فيه",ammani,positive,high
213,"الفريق ربح اليوم بعد خسارات كتيرة، أخيرا",ammani,positive,high
214,"رحت زرت المتحف الأردني، أجمل مما توقعت",ammani,positive,medium
215,"حكيت مع أمي ساعة بالتلفون، راحة بال ما بتوصف",ammani,positive,high
216,"لقيت بارقينج أول ما وصلت وسط البلد، نادر",ammani,positive,high
217,الطقس هالأسبوع حلو وبارد ومناسب للمشي,ammani,positive,high
218,"أخيرا عدلوا الانترنت عندنا، صار سريع كتير",ammani,positive,high
219,"القسم الجديد بالشغل فيه ناس كويسين، انبسطت",ammani,positive,high
220,"صاحبي وصله عرض شغل ممتاز ببره، يستاهل",ammani,positive,high
221,"الرحلة المدرسية كانت ممتازة، الأولاد رجعوا مبسوطين",ammani,positive,high
222,لقيت حل للمشكلة اللي كانت واقفة معي من أسبوع,ammani,positive,high
223,"عرفت اصلح الموبايل بنفسي، وفرت فلوس الصيانة",ammani,positive,medium
224,"الكتاب اللي هديته لصاحبي عجبه كتير، انبسطت",ammani,positive,high
225,"وصلتني هدية مفاجأة من أهلي، والله فرحت",ammani,positive,high
226,"نجحت بالاختبار اللي كنت خايف منه، الحمد لله",ammani,positive,high
227,"الطبيب قال ما في شي خطير، بس خد دواء بسيط",ammani,positive,high
228,"صاحبي تزوج اليوم، الله يبارك فيهم ويسعدهم",ammani,positive,medium
229,"وصلت على الطيران قبل الموعد، للمرة الأولى",ammani,positive,high
230,"اليوم احتفلنا بعيد ميلاد أبوي، فرحنا فيه",ammani,positive,medium
231,المكتبة الجديدة اللي افتتحت قريبة من بيتنا ممتازة,ammani,positive,medium
232,"رجعت الكهربا بعد انقطاع قصير، الحمد لله",ammani,positive,high
233,"ولدي مشى أول خطواته اليوم، ما في أحلى من هيك",ammani,positive,medium
234,"الدكتور قال تعافيت بشكل ممتاز، أسرع مما توقع",ammani,positive,high
235,"العيلة كلها اجتمعت هالعيد، سنين ما صار هيك",ammani,positive,medium
236,"خلصت مشروع التخرج وقدمته، الحمد الله",ammani,positive,high
237,الفندق اللي نزلنا فيه كان ممتاز وأسعاره منيحة,ammani,positive,high
238,"وصلتني وظيفة بالتخصص اللي درسته، حلم تحقق",ammani,positive,high
239,رحت الجيم اليوم وحسيت بفرق بعد أسبوعين,ammani,positive,high
240,"صاحبتي ساعدتني كتير بموضوع مهم، يسلم إيديها",ammani,positive,high
241,"اليوم كان أحلى يوم بالرحلة، شفنا أماكن جميلة",ammani,positive,high
242,"الإيجار ثبت هاي السنة ما ارتفع، الحمد لله",ammani,positive,high
243,"خلصت الديون اللي على بالي من سنة، راحة ما بتوصف",ammani,positive,high
244,"أول مرة أطبخ وطلع الأكل زاكي، انبسطت من حالي",ammani,positive,high
245,المستشفى الجديد قريب وخدمته ممتازة,ammani,positive,medium
246,وصلني خبر قبولي بالدورة التدريبية اللي قدمت عليها,ammani,positive,medium
247,الحفلة الموسيقية امبارح كانت تجربة ما نسيتها,ammani,positive,medium
248,"خلصنا تشطيب البيت الجديد، أحلى مما تخيلت",ammani,positive,high
249,"اليوم ربحت رهان بسيط مع صاحبي، بسيطة بس حلوة 😄",ammani,positive,medium
250,"الولاد رجعوا من المدرسة مبسوطين اليوم، انبسطت",ammani,positive,high
251,وجدت حل للمشكلة اللي قاعدة تأرقني من زمان,ammani,positive,high
252,"أهلي وافقوا على فكرتي، كنت خايف ما يوافقوا",ammani,positive,high
253,"الصيف هالسنة مش حار زي العادة، الله يديم",ammani,positive,high
254,"شفت صديق قديم ما شفته من سنين، فرحة ما بتوصف",ammani,positive,high
255,الكورس الأونلاين اللي خذته كان يستاهل كل قرش,ammani,positive,high
256,"وصلني تنبيه إن الشحنة وصلت، أخيرا",ammani,positive,high
257,"اجتماع الفريق انتهى بنتائج كويسة، كلنا اتفقنا",ammani,positive,medium
258,رحلة العيد كانت من أحلى ما مريت فيه,ammani,positive,high
259,"صديقي القديم حكالي بعد سنتين، والله فرحت",ammani,positive,high
260,"حجزت تذاكر الرحلة بسعر ممتاز، والله لقطة",ammani,positive,high
261,"الولد الصغير حفظ سورة جديدة اليوم، ما شاء الله",ammani,positive,high
262,أكلنا في مطعم شعبي قديم وكان أحلى من المطاعم الفخمة,ammani,positive,medium
263,"وصلت درجتي بالامتحان وكانت A، ما توقعت هيك",ammani,positive,medium
264,"صاحبي ساعدني بالنقل بدون ما يطلب شي، ناس ذهب",ammani,positive,medium
265,"رحنا نشوف أهل الريف، تغيير جو حلو",ammani,positive,high
266,"الشركة قررت تعطينا مكافأة هاد الشهر، فاجأتنا",ammani,positive,high
267,"حكيت بالعربي مع أجنبي واشتغل الأمر، انبسطت",ammani,positive,high
268,"صاحبتي تعافت من عمليتها بشكل تمام، الحمد لله",ammani,positive,medium
269,"اليوم وقفت مع غريب ساعدته يلاقي الطريق، حاسس بنفسي",ammani,positive,medium
270,حجزت موعد بالطبيب ووجدت أبكر من اللي توقعت,ammani,positive,high
271,"الكتاب اللي أوصوني عليه كان روعة، شكرا للي أوصى",ammani,positive,medium
272,"صاحبي جاب ابنه للعب عندنا، أحلى فوضى",ammani,positive,medium
273,"البيت صار نظيف بعد يوم تنظيف، راحة نفسية",ammani,positive,high
274,"كل يوم نفس الأزمة على الدوار الرابع، ما في حل",ammani,negative,medium
275,"الفاتورة طلعت هاد الشهر ضعف العادي، كيف هيك",ammani,negative,medium
276,التوصيلة تأخرت ساعة وما في تعويض ولا اعتذار,ammani,negative,high
277,"الدكتور قالي لازم أرجع أسبوع ثاني، تعبت من السلف",ammani,negative,high
278,صاحبي غير رأيه بآخر لحظة وخرب كل التخطيط,ammani,negative,medium
279,"الكمبيوتر انهنج وأنا بخلص مشروع مهم، ضاع شغل يوم",ammani,negative,high
280,"ما في موقف قرب المستشفى، شلت السيارة بالعز",ammani,negative,high
281,"الفلوس خلصت قبل نهاية الشهر بأسبوع، ضيقة",ammani,negative,low
282,"رجعت البيت تعبان وما في أكل، اضطريت آمر توصيل",ammani,negative,high
283,المعلم طلع مش كفو وضيعنا تلات أشهر من الدورة,ammani,negative,high
284,الضجيج من الشارع ما خلاني أنام بالليل,ammani,negative,medium
285,"طلعلي ضرس عقل والوجع ما طاق، رح أروح الدكتور بكرا",ammani,negative,medium
286,الحافلة فاتتني بثانية وانتظرت نص ساعة بالشمس,ammani,negative,medium
287,الانترنت مو شغال من الصبح ومعي اجتماع أونلاين,ammani,negative,high
288,"كتير تعبان هاي الأيام، ما في طاقة على شي",ammani,negative,medium
289,"الإيجار ارتفع والمالك ما قبل يفاوض، لازم أدور غير",ammani,negative,high
290,"رسبت بمادة واحدة بعد ما ذاكرت أسابيع، مكسور",ammani,negative,medium
291,"الراتب مش كافي هالأيام، الأسعار ارتفعت بشكل مجنون",ammani,negative,high
292,"صرت أنسى أشياء كتيرة، مش عارف شو في",ammani,negative,medium
293,"السيارة خربت بمكان ما في فيه موبايل نت، تعبت",ammani,negative,high
294,"الدوام طوّل بدون ما يعطونا سبب، فاتت مواعيد",ammani,negative,high
295,"ما حدا سألني كيف حالي من أسبوع، حاسس بغربة",ammani,negative,medium
296,"الطقس حار وما في مكيف بالمكتب، يوم صعب",ammani,negative,high
297,الرحلة اتأجلت بآخر لحظة بعد ما حجزنا كل شي,ammani,negative,low
298,وجعت راسي من كثر الشاشات هاليوم,ammani,negative,medium
299,ما قدرت أنام لحد الفجر من التفكير,ammani,negative,high
300,"الدوا اللي وصفوه ما نفع، لازم أرجع الدكتور",ammani,negative,high
301,كل اجتماع بيأخذ ضعف الوقت المحدد بدون نتيجة,ammani,negative,medium
302,"الكهربا انقطعت وأنا بحضر للامتحان، فشخ تركيزي",ammani,negative,high
303,"رحت على الدائرة وما كانوا شايلين المعاملة، رجعت فاضي",ammani,negative,medium
304,"الولد ما قدر ينام من ألم أسنانه، يوم صعب",ammani,negative,medium
305,ما لقيت سيارة تاكسي من نص ساعة والجو حر,ammani,negative,low
306,"صاحبي حكالي شي عن حالي ما عجبني، زعلت منه",ammani,negative,high
307,الأكل من المطعم طلع بارد وما في لحمة كافية,ammani,negative,medium
308,رحت على الجهاز وقالولي ما عندنا موعد بهالشهر,ammani,negative,high
309,الباص حار جدا ومكتظ وما في مكان أجلس,ammani,negative,high
310,كل ما بدي أبدأ بشي جديد بجيني كسل ما بيتحمل,ammani,negative,medium
311,المصاري اللي وفرتها خلصت على اشياء ما توقعتها,ammani,negative,medium
312,"شغلي كتير وما في حدا يساعد، حاسس حالي لحالي فيه",ammani,negative,medium
313,اليوم اكتشفت إن في خطأ بالتقرير بعد ما سلمته,ammani,negative,high
314,الطابور بالدائرة كان ثلاث ساعات وخلصت بعشر دقايق,ammani,negative,medium
315,رفقاتي كلهم مشغولين ومش قادر أشوف حدا,ammani,negative,high
316,"فقدت ملف مهم بسبب مشكلة بالحاسوب، كارثة",ammani,negative,high
317,"الجيران مو كويسين، مشاكل ما بتخلص",ammani,negative,high
318,كل ما بدي أقلع من الزحمة بتطلعلي أزمة ثانية,ammani,negative,high
319,الامتحان كان صعب ومش عارف شو رح تطلع نتيجتي,ammani,negative,high
320,"ما عندي وقت حر من أسابيع، حاسس عم يطحنني",ammani,negative,high
321,الفندق اللي حجزناه كان أقل بكتير مما بالصور,ammani,negative,medium
322,وجعت معدتي من الأكل البارد اللي جاب التوصيل,ammani,negative,medium
323,ما قدرت أكمل الكتاب من كثر التشتت هالأيام,ammani,negative,high
324,ادوي ما عنده هالدواء وبدي ادور في كل الصيدليات,ammani,negative,medium
325,الشغل الجديد فيه ضغط أكتر مما قالوا بالمقابلة,ammani,negative,high
